ticker,TWER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-17,900.0
2007-01-22,50.0
2007-01-23,14.6667
2007-01-26,1080.8342
2007-01-29,1.8065
2007-01-30,0.8872
2007-01-31,0.0
2007-02-01,2.2613
2007-02-02,0.0
2007-02-05,4.2998
2007-02-06,2.2379
2007-02-07,-0.3456
2007-02-08,1.1561
2007-02-09,1.7143000000000002
2007-02-12,-4.4944
2007-02-13,1.8824
2007-02-14,2.194
2007-02-15,-0.226
2007-02-16,-3.7373
2007-02-20,2.8235
2007-02-21,-2.746
2007-02-22,-0.5882
2007-02-23,1.7751000000000001
2007-02-26,-2.3256
2007-02-27,-13.0952
2007-02-28,-4.1096
2007-03-01,-10.5714
2007-03-02,0.639
2007-03-05,6.3492
2007-03-06,-1.4925
2007-03-07,-1.5152
2007-03-08,3.8462
2007-03-09,0.0
2007-03-12,-5.1852
2007-03-13,0.0
2007-03-14,6.25
2007-03-15,-1.4706000000000001
2007-03-16,-1.4925
2007-03-19,-1.5152
2007-03-20,2.3077
2007-03-21,1.5038
2007-03-22,-2.2222
2007-03-23,-0.7576
2007-03-26,2.2901
2007-03-27,1.194
2007-03-28,1.7699
2007-03-29,0.7246
2007-03-30,2.1583
2007-04-02,4.2254
2007-04-03,-0.4054
2007-04-04,-1.6282
2007-04-05,0.0
2007-04-09,2.069
2007-04-10,0.0
2007-04-11,-1.3514
2007-04-13,1.3699
2007-04-16,0.0
2007-04-17,0.1351
2007-04-18,-1.4845
2007-04-19,0.0
2007-04-20,2.7397
2007-04-23,0.6667
2007-04-24,0.6623
2007-04-25,0.0
2007-04-26,-4.6053
2007-04-27,0.6897
2007-04-30,-4.1096
2007-05-01,0.0
2007-05-02,4.2857
2007-05-03,0.0
2007-05-04,0.6849
2007-05-07,-4.7619
2007-05-08,-1.4285999999999999
2007-05-09,0.7246
2007-05-10,1.4388
2007-05-11,-3.4043
2007-05-14,2.79
2007-05-15,0.0
2007-05-16,-2.1429
2007-05-17,0.0
2007-05-18,2.1898
2007-05-21,2.8571
2007-05-22,-2.7778
2007-05-23,0.0
2007-05-24,3.5714
2007-05-25,0.9655
2007-05-29,3.1421
2007-05-30,1.457
2007-05-31,-3.0026
2007-06-01,-8.4791
2007-06-04,-2.3529
2007-06-05,-11.5964
2007-06-06,-32.7087
2007-06-07,1.2658
2007-06-08,2.225
2007-06-11,-1.1983
2007-06-12,-2.2277
2007-06-13,-2.7848
2007-06-14,0.2604
2007-06-15,1.2987
2007-06-18,3.5897
