ticker,BSVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-20,0.4737
2018-09-21,0.0524
2018-09-24,0.0524
2018-09-25,-0.1047
2018-09-26,-0.4715
2018-09-27,0.0
2018-09-28,1.3158
2018-10-01,-1.1948
2018-10-02,-0.0526
2018-10-03,-0.3156
2018-10-04,-1.0554
2018-10-05,-1.0667
2018-10-08,-1.8868
2018-10-09,-0.2747
2018-10-10,1.2121
2018-10-11,-1.3065
2018-10-12,2.3166
2018-10-15,2.4259
2018-10-16,-0.9474
2018-10-17,0.9033
2018-10-18,-2.317
2018-10-19,-0.2695
2018-10-22,-3.8378
2018-10-23,-1.7988
2018-10-24,-13.3944
2018-10-25,2.9081
2018-10-26,-2.0552
2018-10-29,10.8197
2018-10-30,-7.2781
2018-10-31,5.6158
2018-11-01,10.8761
2018-11-02,2.8883
2018-11-05,0.1059
2018-11-06,-3.5979
2018-11-07,1.5368
2018-11-08,-0.8108
2018-11-09,1.6349
2018-11-12,-2.5737
2018-11-13,0.9906
2018-11-14,0.7629
2018-11-15,1.6766
2018-11-16,0.0
2018-11-19,-0.266
2018-11-20,-7.2
2018-11-21,3.1034
2018-11-23,4.2363
2018-11-26,-4.8128
2018-11-27,0.0562
2018-11-28,-0.1123
2018-11-29,3.4289
2018-11-30,0.4891
2018-12-03,-4.0022
2018-12-04,1.8028
2018-12-06,-4.4826
2018-12-07,1.4484
2018-12-10,-0.3427
2018-12-11,0.2865
2018-12-12,-0.5714
2018-12-13,-1.2644
2018-12-14,-1.2224
2018-12-17,0.2357
2018-12-18,-3.351
2018-12-19,-0.9732
2018-12-20,-1.6585
2018-12-21,-6.3086
2018-12-24,-11.5333
2018-12-26,-8.3647
2018-12-27,-1.7269999999999999
2018-12-28,5.4393
2018-12-31,5.9524
2019-01-02,0.0
2019-01-03,0.3745
2019-01-04,10.4478
2019-01-07,-3.7838000000000003
2019-01-08,2.5983
2019-01-09,2.2587
2019-01-10,-3.1459
2019-01-11,1.935
2019-01-14,-1.6271
2019-01-15,1.654
2019-01-16,3.0508
2019-01-17,1.9737
2019-01-18,0.9677
2019-01-22,-0.8946
2019-01-23,1.225
2019-01-24,-2.8662
2019-01-25,-0.6557
2019-01-28,0.099
2019-01-29,-0.9561
2019-01-30,3.1957
2019-01-31,0.5806
2019-02-01,6.9275
2019-02-04,0.8998
2019-02-05,1.1891
2019-02-06,-1.8801
2019-02-07,1.1377
2019-02-08,-3.7892
2019-02-11,0.8
2019-02-12,0.0
