ticker,UTSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-03,278.4722
2000-03-06,-0.7339
2000-03-07,-5.3604
2000-03-08,-5.8594
2000-03-09,1.4523
2000-03-10,-0.6135
2000-03-13,-10.6996
2000-03-14,-15.2074
2000-03-15,16.5761
2000-03-16,8.8578
2000-03-17,-5.3533
2000-03-20,-11.086
2000-03-21,9.9237
2000-03-22,8.7963
2000-03-23,-0.6383
2000-03-24,17.773
2000-03-27,4.5455
2000-03-28,21.7391
2000-03-29,-5.9286
2000-03-30,-0.9871
2000-03-31,-4.2178
2000-04-03,-10.9688
2000-04-04,-20.6835
2000-04-05,7.9365
2000-04-06,2.7311
2000-04-07,8.3845
2000-04-10,-3.2075
2000-04-11,-9.5517
2000-04-12,-9.4828
2000-04-13,-4.7619
2000-04-14,-39.75
2000-04-17,1.6598000000000002
2000-04-18,20.8163
2000-04-19,5.4054
2000-04-20,-0.9615
2000-04-24,-2.9126
2000-04-25,3.6667
2000-04-26,21.5434
2000-04-27,5.8201
2000-04-28,-5.0
2000-05-01,-2.1053
2000-05-02,-6.1828
2000-05-03,-1.1461000000000001
2000-05-04,-1.7391
2000-05-05,4.4248
2000-05-08,-1.6949
2000-05-09,-5.7471
2000-05-10,-5.4878
2000-05-11,0.6452
2000-05-12,-6.4103
2000-05-15,-2.5685000000000002
2000-05-16,19.5079
2000-05-17,7.9412
2000-05-18,-3.951
2000-05-19,-5.5319
2000-05-22,-3.6036
2000-05-23,-1.8692
2000-05-24,-8.5714
2000-05-25,4.8611
2000-05-26,-10.9272
2000-05-30,4.8327
2000-05-31,8.5106
2000-06-01,-45.915
2000-06-02,2.4169
2000-06-05,0.295
2000-06-06,-7.0588
2000-06-07,-2.5316
2000-06-08,-1.9481000000000002
2000-06-09,-0.6623
2000-06-12,-1.0
2000-06-13,-2.6936
2000-06-14,12.1107
2000-06-15,-3.0864
2000-06-16,2.5478
2000-06-19,1.8634
2000-06-20,-2.1341
2000-06-21,5.296
2000-06-22,8.8757
2000-06-23,5.7065
2000-06-26,-5.1414
2000-06-27,-4.607
2000-06-28,1.1364
2000-06-29,3.9326
2000-06-30,31.3514
2000-07-03,-1.2346
2000-07-05,-10.8333
2000-07-06,10.514
2000-07-07,-4.0169
2000-07-10,-2.4229
2000-07-11,-2.4831
2000-07-12,11.1111
2000-07-13,6.6667
2000-07-14,-2.7344
2000-07-17,1.2048
2000-07-18,-2.3810000000000002
2000-07-19,-9.9593
2000-07-20,-3.1603
