ticker,HTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-02-12,0.0
2004-02-13,0.0
2004-02-17,-2.6316
2004-02-18,2.1081
2004-02-19,-0.7411
2004-02-20,-0.2667
2004-02-23,0.5348
2004-02-24,-0.4255
2004-02-25,0.2671
2004-02-26,0.2664
2004-02-27,0.4251
2004-03-01,-0.7937
2004-03-02,-0.2667
2004-03-03,-1.016
2004-03-04,0.7563
2004-03-05,-0.5362
2004-03-08,-0.1617
2004-03-09,0.054
2004-03-10,0.8095
2004-03-11,0.4818
2004-03-12,1.1188
2004-03-15,-0.7376
2004-03-16,0.2654
2004-03-17,-0.2118
2004-03-18,0.0
2004-03-19,-0.7958
2004-03-22,-0.8021
2004-03-23,-0.8625
2004-03-24,0.3263
2004-03-25,-0.0542
2004-03-26,-0.705
2004-03-29,0.7062
2004-03-30,0.6014
2004-03-31,0.5435
2004-04-01,0.9189
2004-04-02,-0.3749
2004-04-05,-1.7204000000000002
2004-04-06,-1.7505
2004-04-07,0.5011
2004-04-08,-1.4404
2004-04-12,-5.3401
2004-04-13,-0.4157
2004-04-14,-0.2982
2004-04-15,0.7775
2004-04-16,0.178
2004-04-19,0.1185
2004-04-20,-0.2959
2004-04-21,-1.4837
2004-04-22,1.8072
2004-04-23,-0.8284
2004-04-26,-0.4177
2004-04-27,0.0599
2004-04-28,-0.8982
2004-04-29,-0.9063
2004-04-30,3.6585
2004-05-03,-1.1764999999999999
2004-05-04,0.2976
2004-05-05,-1.0089
2004-05-06,-1.0791
2004-05-07,-3.6364
2004-05-10,-7.2327
2004-05-11,-0.678
2004-05-12,-0.5461
2004-05-13,1.4413
2004-05-14,2.1651
2004-05-17,-0.6623
2004-05-18,3.6667
2004-05-19,-0.2572
2004-05-20,0.5803
2004-05-21,1.6026
2004-05-24,0.9464
2004-05-25,-0.75
2004-05-26,0.4408
2004-05-27,0.3762
2004-05-28,-0.0625
2004-06-01,3.125
2004-06-02,5.1515
2004-06-03,0.7493
2004-06-04,-1.8879000000000001
2004-06-07,0.5248
2004-06-08,0.348
2004-06-09,-1.6763
2004-06-10,-3.2922000000000002
2004-06-14,-2.3708
2004-06-15,4.4832
2004-06-16,0.7151
2004-06-17,-0.8876
2004-06-18,-0.597
2004-06-21,0.3003
2004-06-22,0.5988
2004-06-23,-0.3571
2004-06-24,-0.2987
2004-06-25,0.1198
2004-06-28,0.6134
2004-06-29,0.303
2004-06-30,0.3021
2004-07-01,0.6024
2004-07-02,1.4371
2004-07-06,-1.3577
