ticker,III US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-13,1.084
2007-02-14,-0.8043
2007-02-15,0.0
2007-02-16,0.1351
2007-02-20,0.135
2007-02-21,0.1348
2007-02-22,-0.4038
2007-02-23,0.0
2007-02-26,0.0
2007-02-28,-0.1351
2007-03-01,-0.6766
2007-03-02,-1.0899
2007-03-05,0.9642
2007-03-06,1.0914
2007-03-07,0.135
2007-03-08,-0.2695
2007-03-09,0.6757
2007-03-12,-0.4027
2007-03-13,0.0
2007-03-14,0.0
2007-03-15,-0.1348
2007-03-16,0.2699
2007-03-19,-0.1346
2007-03-20,-0.2695
2007-03-21,0.6757
2007-03-22,0.0
2007-03-23,0.4027
2007-03-26,-0.4011
2007-03-27,-0.5369
2007-03-28,0.5398
2007-03-29,1.2081
2007-03-30,-1.061
2007-04-02,0.2681
2007-04-03,-0.4011
2007-04-04,-0.6711
2007-04-05,0.4054
2007-04-09,-0.1346
2007-04-10,0.4043
2007-04-11,0.1342
2007-04-12,0.5362
2007-04-13,-0.6667
2007-04-16,0.0
2007-04-17,0.4027
2007-04-18,-0.8021
2007-04-19,0.2695
2007-04-20,0.5376
2007-04-23,-0.9358
2007-04-24,0.8097
2007-04-25,2.8112
2007-04-26,-0.5208
2007-04-27,-0.3927
2007-04-30,0.2628
2007-05-01,0.1311
2007-05-02,-0.6545
2007-05-03,-0.2635
2007-05-04,0.2642
2007-05-07,-0.527
2007-05-08,-0.3974
2007-05-09,-0.133
2007-05-10,0.0
2007-05-11,0.2663
2007-05-14,0.0
2007-05-15,0.0
2007-05-16,0.5312
2007-05-17,-0.2642
2007-05-18,0.1325
2007-05-21,-0.1323
2007-05-22,1.3245
2007-05-23,0.1307
2007-05-24,-1.3054999999999999
2007-05-25,1.8519
2007-05-29,-0.2597
2007-05-30,0.1302
2007-05-31,0.13
2007-06-01,-1.2987
2007-06-04,0.7895
2007-06-05,-0.9138
2007-06-06,1.054
2007-06-07,-1.6949
2007-06-08,0.3979
2007-06-11,-0.3963
2007-06-12,0.0
2007-06-13,0.9284
2007-06-14,-0.7884
2007-06-15,0.7947
2007-06-18,-0.5256
2007-06-19,0.3963
2007-06-20,-0.7895
2007-06-21,0.7958
2007-06-22,9.2105
2007-06-25,-7.8313
2007-06-26,0.7843
2007-06-27,0.6485
2007-06-28,-0.3866
2007-06-29,-1.0349
2007-07-02,0.915
2007-07-03,0.0
2007-07-05,-0.7772
2007-07-06,-0.3916
2007-07-09,-0.3932
2007-07-10,-0.5263
