ticker,GSRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-27,0.0
2007-12-31,1328.5714
2008-01-02,100.0
2008-01-03,0.0
2008-01-10,0.0
2008-01-25,-33.3333
2008-02-13,-25.0
2008-02-25,33.3333
2008-02-29,-75.0
2008-04-04,0.0
2008-04-15,0.0
2008-04-22,140.0
2008-04-23,58.3333
2008-04-29,0.0
2008-05-06,-68.4211
2008-05-21,50.0
2008-05-27,-11.1111
2008-06-04,50.0
2008-06-20,-50.0
2008-07-09,0.0
2008-09-11,16.6667
2008-09-12,0.0
2008-09-15,0.0
2008-09-16,-28.5714
2008-09-17,0.0
2008-09-26,-20.0
2008-09-29,2.5
2008-09-30,21.9512
2008-10-09,-60.0
2008-10-10,50.0
2008-10-15,-33.3333
2008-10-24,-50.0
2008-11-13,-40.0
2008-12-29,2.0833
2009-01-02,389.7959
2009-01-05,0.0
2009-01-27,-33.3333
2009-01-28,0.0
2009-01-29,0.0
2009-01-30,0.0
2009-02-02,0.0
2009-02-03,-37.5
2009-02-09,-20.0
2009-02-10,0.0
2009-03-12,0.0
2009-03-17,100.0
2009-04-24,-25.0
2009-06-30,0.0
2010-01-26,150.0
2010-07-07,-26.6667
2010-10-13,0.0
2010-11-24,18.1818
2011-03-29,130.7692
2011-04-18,0.0
2011-05-24,33.3333
2011-06-10,50.0
2011-06-24,-16.6667
2011-07-07,-8.0
2011-11-23,-23.913
2012-05-11,-14.2857
2012-06-11,-16.6667
2013-02-12,0.8
2013-10-29,0.0
2014-03-07,7.1429
2014-03-19,122.2222
2014-03-21,0.0
2014-10-31,-33.3333
2014-12-05,-25.0
2015-01-30,-16.6667
2015-02-13,0.0
2015-03-25,-15.2
2015-10-14,0.0
2015-10-15,0.0
2016-01-13,-5.6604
2016-04-07,0.0
2016-04-18,-5.0
2016-04-27,0.0
2016-08-02,0.0
2016-10-26,-42.1053
2016-11-10,0.0
2016-12-09,-9.0909
2016-12-14,45.0
2017-01-05,32.4138
2017-05-17,56.25
2017-06-08,83.3333
2017-06-14,-9.0909
2017-06-16,58.0
2017-06-19,64.557
2017-06-20,-23.0769
2017-06-21,70.0
2017-06-22,76.4706
2017-06-23,-13.3333
2017-06-26,15.3846
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,-1.6667
2017-06-30,-25.4237
2017-07-19,0.0
2017-07-20,8.6364
2017-07-21,-33.0544
2017-07-24,-15.6238
2017-07-25,29.6277
2017-07-27,-17.1429
2017-07-28,-6.8966
2017-08-01,11.1111
