ticker,DEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-06,3.3333
2015-02-09,1.9355
2015-02-10,0.6329
2015-02-11,0.1258
2015-02-12,0.1884
2015-02-13,-1.0031
2015-02-17,0.4433
2015-02-18,0.2522
2015-02-19,-0.1258
2015-02-20,0.6927
2015-02-23,2.1263
2015-02-24,0.9798
2015-02-25,-0.1213
2015-02-26,-0.3036
2015-02-27,-1.9487999999999999
2015-03-02,2.2981
2015-03-03,0.1821
2015-03-04,-0.0606
2015-03-05,-1.6374
2015-03-06,-4.1924
2015-03-09,0.6435
2015-03-10,-0.1918
2015-03-11,0.0641
2015-03-12,1.2164
2015-03-13,-2.2138
2015-03-16,0.2587
2015-03-17,0.3871
2015-03-18,0.7069
2015-03-19,0.8934
2015-03-20,1.0753
2015-03-23,1.0013
2015-03-24,0.1859
2015-03-25,-0.4947
2015-03-26,0.4972
2015-03-27,0.0618
2015-03-30,-0.1236
2015-03-31,-0.6807
2015-04-01,0.9346
2015-04-02,0.1852
2015-04-06,0.8626
2015-04-07,-1.2217
2015-04-08,0.0618
2015-04-09,-0.7417
2015-04-10,0.9963
2015-04-13,0.3699
2015-04-14,0.7371
2015-04-15,0.1829
2015-04-16,-1.339
2015-04-17,-1.3572
2015-04-20,0.6254
2015-04-21,0.4351
2015-04-22,-0.6807
2015-04-23,0.6231
2015-04-24,0.2477
2015-04-27,0.1853
2015-04-28,-0.3699
2015-04-29,-0.1856
2015-04-30,-2.3559
2015-05-01,0.127
2015-05-04,1.3316
2015-05-05,-0.7509
2015-05-06,0.1261
2015-05-07,0.5668
2015-05-08,1.3776
2015-05-11,-0.8647
2015-05-12,-0.81
2015-05-13,-3.0779
2015-05-14,1.4258
2015-05-15,0.7079
2015-05-18,1.278
2015-05-19,0.5047
2015-05-20,0.4394
2015-05-21,0.0
2015-05-22,-0.0625
2015-05-26,-0.1251
2015-05-27,0.814
2015-05-28,-2.2981
2015-05-29,-1.2715
2015-06-01,3.0908
2015-06-02,-2.2486
2015-06-03,0.9585
2015-06-04,-0.443
2015-06-05,-1.0172
2015-06-08,-0.7065
2015-06-09,0.0
2015-06-10,0.2587
2015-06-11,1.2903
2015-06-12,1.465
2015-06-15,-0.6905
2015-06-16,-0.6953
2015-06-17,0.4456
2015-06-18,1.8378
2015-06-19,-1.2446
2015-06-22,0.252
2015-06-23,-0.5028
2015-06-24,0.2527
2015-06-25,-0.3781
2015-06-26,1.2018
2015-06-29,-1.0625
2015-06-30,0.5685
