ticker,CUE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-03,9.6303
2018-01-04,7.8431
2018-01-05,9.0909
2018-01-08,-2.6667
2018-01-09,2.6712
2018-01-10,-1.5344
2018-01-11,3.0488
2018-01-12,1.9066
2018-01-16,0.1935
2018-01-17,-1.0303
2018-01-18,-4.6194
2018-01-19,-1.4325
2018-01-22,7.128
2018-01-23,0.7752
2018-01-24,0.641
2018-01-25,0.828
2018-01-26,-2.1478
2018-01-29,0.3873
2018-01-30,-3.0225
2018-01-31,0.4642
2018-02-01,-1.3201
2018-02-02,0.0
2018-02-05,-1.4047
2018-02-06,-2.171
2018-02-07,0.4854
2018-02-08,-2.2774
2018-02-09,0.1412
2018-02-12,-3.4556
2018-02-13,0.5113
2018-02-14,4.2878
2018-02-15,-0.0697
2018-02-16,3.9052
2018-02-20,-1.2081
2018-02-21,3.5326
2018-02-22,-1.4436
2018-02-23,-0.1332
2018-02-26,1.6
2018-02-27,-0.853
2018-02-28,0.2647
2018-03-01,-2.2442
2018-03-02,1.9581
2018-03-05,6.8873999999999995
2018-03-06,1.6109
2018-03-07,-0.6098
2018-03-08,5.8282
2018-03-09,-2.087
2018-03-12,-1.1841
2018-03-13,1.9173
2018-03-14,0.4703
2018-03-15,0.0
2018-03-16,-2.5746
2018-03-19,0.2402
2018-03-20,-0.7789
2018-03-21,2.2947
2018-03-22,-2.7744999999999997
2018-03-23,-3.2787
2018-03-26,-6.4658
2018-03-27,-9.1275
2018-03-28,2.2157
2018-03-29,1.5173
2018-04-02,-0.9964
2018-04-03,0.647
2018-04-04,-2.7143
2018-04-05,1.8355000000000001
2018-04-06,-7.2819
2018-04-09,6.2208
2018-04-10,-0.9517
2018-04-11,-0.9608
2018-04-12,2.9851
2018-04-13,1.4493
2018-04-16,0.9286
2018-04-17,-2.1939
2018-04-18,-0.3618
2018-04-19,-3.3406000000000002
2018-04-20,0.3757
2018-04-23,1.4222000000000001
2018-04-24,-0.8856
2018-04-25,0.1489
2018-04-26,-1.0409
2018-04-27,-10.0676
2018-04-30,-7.7694
2018-05-01,-0.9964
2018-05-02,5.1235
2018-05-03,0.6963
2018-05-04,3.2843999999999998
2018-05-07,1.7572999999999999
2018-05-08,-1.3980000000000001
2018-05-09,0.3336
2018-05-10,11.9701
2018-05-11,6.2361
2018-05-14,0.0699
2018-05-15,-0.6983
2018-05-16,0.6329
2018-05-17,-0.7687
2018-05-18,1.4085
2018-05-21,-0.8333
2018-05-22,-1.6106
