ticker,PTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-11,-17.0
2016-02-12,-6.9277
2016-02-16,-6.9579
2016-02-17,0.0
2016-02-18,-1.737
2016-02-19,4.7764
2016-02-22,7.7703
2016-02-23,1.8809
2016-02-24,-5.9231
2016-02-25,-1.8806
2016-02-26,1.3333
2016-02-29,-1.3158
2016-03-01,-2.5
2016-03-02,-3.2479
2016-03-03,-1.9379
2016-03-04,0.1745
2016-03-07,30.2158
2016-03-08,14.9171
2016-03-09,41.226
2016-03-10,-18.8085
2016-03-11,-6.0797
2016-03-14,8.482099999999999
2016-03-15,2.6749
2016-03-16,-4.3086
2016-03-17,3.0366
2016-03-18,-2.6423
2016-03-21,3.0271
2016-03-22,9.9291
2016-03-23,-4.3318
2016-03-24,-5.2987
2016-03-28,-11.292
2016-03-29,4.3578
2016-03-30,4.1758
2016-03-31,1.6878
2016-04-01,-3.2157999999999998
2016-04-04,-2.358
2016-04-05,-0.4391
2016-04-06,2.6461
2016-04-07,0.9667
2016-04-08,6.383
2016-04-11,-4.1
2016-04-12,2.3983
2016-04-13,1.833
2016-04-14,0.0
2016-04-15,2.0
2016-04-18,-2.0588
2016-04-19,-3.003
2016-04-20,-2.8895999999999997
2016-04-21,-2.2317
2016-04-22,2.0652
2016-04-25,-0.852
2016-04-26,-0.9667
2016-04-27,-0.9761
2016-04-28,-0.8762
2016-04-29,-0.1105
2016-05-02,3.5398
2016-05-03,16.7735
2016-05-04,5.764
2016-05-05,4.2388
2016-05-06,-2.9046
2016-05-09,1.7094
2016-05-10,2.9412000000000003
2016-05-11,2.0408
2016-05-12,-2.7199999999999998
2016-05-13,2.7961
2016-05-16,0.72
2016-05-17,-1.5886
2016-05-18,-7.5061
2016-05-19,-0.9599
2016-05-20,-4.7577
2016-05-23,7.0305
2016-05-24,8.038
2016-05-25,14.88
2016-05-26,7.2423
2016-05-27,3.1818
2016-05-31,3.9648
2016-06-01,-0.5448
2016-06-02,-0.0609
2016-06-03,2.0705999999999998
2016-06-06,15.4535
2016-06-07,2.3256
2016-06-08,-3.3838
2016-06-09,0.6796
2016-06-10,4.3614
2016-06-13,-1.5423
2016-06-14,-5.4573
2016-06-15,6.1999
2016-06-16,-3.4726
2016-06-17,-14.025
2016-06-20,0.4245
2016-06-21,-2.8986
2016-06-22,3.9179
2016-06-23,0.6583
2016-06-24,-9.2152
2016-06-27,-19.057
2016-06-28,-2.9935
2016-06-29,1.5013
2016-06-30,-0.3287
