ticker,SPB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.0541
2000-01-04,-3.8961
2000-01-05,5.4054
2000-01-06,5.1282
2000-01-07,-2.439
2000-01-10,-2.5
2000-01-11,-1.2821
2000-01-12,-2.5974
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-1.3333
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,-5.4054
2000-01-24,0.0
2000-01-25,5.7143
2000-01-26,-2.7027
2000-01-27,-2.7778
2000-01-28,0.0
2000-01-31,-1.4285999999999999
2000-02-01,4.3478
2000-02-02,1.3889
2000-02-03,1.3699
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-1.3514
2000-02-10,-1.3699
2000-02-11,1.3889
2000-02-14,1.3699
2000-02-15,-1.3514
2000-02-16,6.8493
2000-02-17,0.0
2000-02-18,-1.2821
2000-02-22,-3.8961
2000-02-23,4.0541
2000-02-24,-1.2987
2000-02-25,3.9474
2000-02-28,-2.5316
2000-02-29,3.8961
2000-03-01,2.5
2000-03-02,25.6098
2000-03-03,-12.6214
2000-03-06,6.6667
2000-03-07,-4.1667
2000-03-08,-7.6087
2000-03-09,5.8824
2000-03-10,3.3333
2000-03-13,-4.3011
2000-03-14,0.0
2000-03-15,-4.4944
2000-03-16,3.5294
2000-03-17,-4.5455
2000-03-20,-2.3810000000000002
2000-03-21,1.2195
2000-03-22,-1.2048
2000-03-23,-1.2195
2000-03-24,0.0
2000-03-27,-1.2346
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,-3.75
2000-03-31,-1.2987
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,-2.6316
2000-04-06,-1.3514
2000-04-07,0.0
2000-04-10,-2.7397
2000-04-11,-2.8169
2000-04-12,1.4493
2000-04-13,-1.4285999999999999
2000-04-14,-5.7971
2000-04-17,-3.0769
2000-04-18,3.1746
2000-04-19,4.6154
2000-04-20,1.4706000000000001
2000-04-24,-5.7971
2000-04-25,0.0
2000-04-26,-1.5385
2000-04-27,-1.5625
2000-04-28,1.5873
2000-05-01,0.0
2000-05-02,-7.8125
2000-05-03,6.7797
2000-05-04,0.0
2000-05-05,6.3492
2000-05-08,-1.4925
2000-05-09,-3.0303
2000-05-10,-1.5625
2000-05-11,-3.1746
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,-1.6393
2000-05-17,0.0
2000-05-18,3.3333
2000-05-19,-1.6129
2000-05-22,1.6393
2000-05-23,-3.2258
2000-05-24,-3.3333
