ticker,GRNQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-29,57.1429
2015-07-30,227.2727
2015-08-03,511.1111
2015-08-05,-63.6364
2015-08-12,-37.5
2015-08-13,0.0
2015-10-19,-6.0
2015-11-09,123.4043
2015-11-11,0.0
2015-11-12,-42.8571
2015-11-16,70.0
2015-11-17,0.0
2015-11-18,-9.6078
2015-11-27,12.7983
2015-12-03,0.9615
2016-01-27,-0.9524
2016-08-23,9.6154
2017-07-24,5.2632
2017-07-26,3.3333
2017-08-02,-1.6129
2017-08-09,4.918
2017-08-31,1.5625
2017-09-29,-7.6923
2017-10-02,16.6667
2017-10-03,-7.1429
2017-10-04,-7.6923
2017-10-25,13.3333
2017-12-12,-25.0
2017-12-15,17.647100000000002
2018-04-17,66.6667
2018-06-13,127.5
2018-06-14,-3.2967
2018-06-15,-48.9545
2018-06-20,7.3464
2018-06-25,1.2028
2018-06-26,-20.4918
2018-06-28,3.0928
2018-07-06,-18.0
2018-07-09,8.4732
2018-07-10,15.653
2018-07-12,4.0138
2018-07-16,-1.8692
2018-07-27,-33.3333
2018-07-30,-9.2857
2018-07-31,0.0
2018-08-01,-0.0016
2018-08-02,-5.5103
2018-08-06,-10.1667
2018-08-07,1.0724
2018-08-08,0.9582
2018-08-09,0.9091
2018-08-10,0.0
2018-08-13,-0.1676
2018-08-17,-10.6611
2018-08-20,10.101
2018-08-21,-3.6696999999999997
2018-08-22,16.5714
2018-08-23,-24.0196
2018-08-24,17.5591
2018-08-27,0.5945
2018-08-28,5.4719
2018-08-29,30.1057
2018-08-30,-20.4877
2018-08-31,4.8667
2018-09-04,21.583
2018-09-05,-15.0327
2018-09-06,-7.6923
2018-09-07,-8.8683
2018-09-10,-6.7284
2018-09-11,-0.1059
2018-09-12,-23.8998
2018-09-13,-13.8509
2018-09-14,-1.8234
2018-09-17,-5.0471
2018-09-18,2.1326
2018-09-19,-13.7201
2018-09-20,-3.4151
2018-09-21,5.6604
2018-09-24,-5.3571
2018-09-25,0.7547
2018-09-26,3.3708
2018-09-27,24.2754
2018-09-28,6.6531
2018-10-01,170.6249
2018-10-02,-44.4444
2018-10-03,24.3636
2018-10-04,0.8772
2018-10-05,-7.9696
2018-10-08,-1.4189
2018-10-09,-1.278
2018-10-10,3.7217000000000002
2018-10-11,-5.6162
2018-10-12,0.1686
2018-10-15,1.9586999999999999
2018-10-16,-0.4677
2018-10-17,15.7236
2018-10-18,-6.5618
2018-10-19,2.2556
2018-10-22,-6.1765
