ticker,USRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-19,-4.7619
2008-02-20,-1.0
2008-02-21,0.0
2008-02-22,-0.8081
2008-02-25,-7.7368
2008-02-26,2.4254
2008-02-27,1.2931
2008-02-28,-1.7021
2008-02-29,-1.9481000000000002
2008-03-03,0.883
2008-03-04,-0.2188
2008-03-05,0.8745
2008-03-06,-0.8669
2008-03-07,2.4123
2008-03-10,-1.6274
2008-03-11,-6.6173
2008-03-12,10.2535
2008-03-13,-7.3971
2008-03-14,-1.8265
2008-03-17,4.4186
2008-03-18,-4.4543
2008-03-19,-10.7226
2008-03-20,-2.3499
2008-03-24,7.4866
2008-03-25,8.209
2008-03-26,1.1494
2008-03-27,-2.5
2008-03-28,-2.0979
2008-03-31,-4.7619
2008-04-01,3.75
2008-04-02,3.3735
2008-04-03,-1.5385
2008-04-04,-8.8542
2008-04-07,4.1558
2008-04-08,1.7456
2008-04-09,0.4933
2008-04-10,-5.6126000000000005
2008-04-11,3.3592
2008-04-14,0.0
2008-04-15,0.5
2008-04-16,-1.1443
2008-04-17,0.6543
2008-04-18,0.95
2008-04-21,-0.6934
2008-04-22,-7.2318999999999996
2008-04-23,0.0
2008-04-24,4.4624
2008-04-25,5.5069
2008-04-28,-4.1463
2008-04-29,-5.598
2008-04-30,0.8086
2008-05-01,0.0
2008-05-02,-4.2781
2008-05-05,-9.2179
2008-05-06,12.9231
2008-05-07,-15.5313
2008-05-08,0.0
2008-05-09,9.6734
2008-05-12,1.7684
2008-05-13,-9.2486
2008-05-14,1.2739
2008-05-15,-5.3459
2008-05-16,7.9734
2008-05-19,-2.7654
2008-05-20,10.7551
2008-05-21,0.0
2008-05-22,-6.5714
2008-05-23,10.6116
2008-05-27,-10.6995
2008-05-28,3.7152
2008-05-29,-2.7462999999999997
2008-05-30,-2.4862
2008-06-02,3.1161
2008-06-03,8.3639
2008-06-04,-6.1972
2008-06-05,-8.4084
2008-06-06,1.9672
2008-06-09,-0.9646
2008-06-10,-2.9221
2008-06-12,-6.0201
2008-06-13,-18.1495
2008-06-16,6.5217
2008-06-17,11.8367
2008-06-18,-9.4845
2008-06-19,-1.2147000000000001
2008-06-25,-6.1224
2008-06-26,0.0
2008-06-27,22.0
2008-06-30,1.5681
2008-07-01,-5.6184
2008-07-02,-14.4895
2008-07-03,-3.0487
2008-07-07,18.8341
2008-07-08,25.8868
2008-07-09,11.5145
2008-07-10,-0.0067
2008-07-11,1.6162999999999998
2008-07-14,0.5291
