ticker,TSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-24,-6.8182
2014-07-25,2.439
2014-07-28,1.9048
2014-07-29,0.0
2014-07-30,1.4019
2014-07-31,0.9217
2014-08-01,-0.1826
2014-08-04,0.0
2014-08-05,0.366
2014-08-06,0.0912
2014-08-07,-0.6375
2014-08-08,-0.0917
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,-0.2752
2014-08-14,0.46
2014-08-15,2.4725
2014-08-18,0.6256
2014-08-19,0.444
2014-08-20,0.7958
2014-08-21,0.0
2014-08-22,-0.614
2014-08-25,0.1765
2014-08-26,0.3524
2014-08-27,-0.878
2014-08-28,-0.3543
2014-08-29,0.8889
2014-09-02,0.0881
2014-09-03,0.2641
2014-09-04,-2.0193
2014-09-05,-1.5232999999999999
2014-09-08,1.1829
2014-09-09,3.2374
2014-09-10,-1.6551
2014-09-11,1.7715
2014-09-12,-3.2202
2014-09-15,0.4496
2014-09-16,1.5219
2014-09-17,0.7937
2014-09-18,2.0122
2014-09-19,-1.8868
2014-09-22,1.5734
2014-09-23,1.1188
2014-09-24,4.6809
2014-09-25,-1.626
2014-09-26,-0.8264
2014-09-29,0.3333
2014-09-30,-0.1661
2014-10-01,-0.7488
2014-10-02,2.5147
2014-10-03,2.0442
2014-10-06,-2.1635
2014-10-07,2.1294
2014-10-08,-1.3633
2014-10-09,-0.7317
2014-10-10,1.1466
2014-10-13,-1.0526
2014-10-14,1.5548
2014-10-15,-0.8864
2014-10-16,0.2439
2014-10-17,0.0
2014-10-20,1.7843
2014-10-21,1.0359
2014-10-22,-1.5773000000000001
2014-10-23,0.5609
2014-10-24,-0.6375
2014-10-27,-0.9623
2014-10-28,0.3239
2014-10-29,-0.7264
2014-10-30,1.5447
2014-10-31,0.9608
2014-11-03,-0.3172
2014-11-04,0.1591
2014-11-05,1.112
2014-11-06,-1.8853
2014-11-07,0.7206
2014-11-10,-0.6359
2014-11-11,-0.8
2014-11-12,-0.6452
2014-11-13,1.6234
2014-11-14,-0.7987
2014-11-17,-0.7246
2014-11-18,0.0811
2014-11-19,-0.3241
2014-11-20,0.1626
2014-11-21,-0.0812
2014-11-24,-0.4874
2014-11-25,0.4082
2014-11-26,1.5447
2014-11-28,-0.0801
2014-12-01,-0.5609
2014-12-02,0.0806
2014-12-03,0.0
2014-12-04,-0.8857
2014-12-05,0.0812
2014-12-08,-0.2435
2014-12-09,1.6273
2014-12-10,-0.6405
2014-12-11,-1.2086999999999999
2014-12-12,-0.571
