ticker,SGRCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-05,83.2432
2005-03-22,12.0944
2005-07-08,-21.0526
2005-07-14,13.3333
2005-07-26,-5.8824
2005-08-03,-0.625
2005-08-09,24.2138
2005-08-24,-8.0696
2005-08-25,9.7074
2005-09-12,0.3608
2005-09-23,0.0469
2005-09-26,-2.5
2005-09-27,1.2821
2005-09-28,1.2658
2005-10-03,-2.5
2005-10-04,5.1282
2005-10-27,9.7561
2005-11-21,0.8889
2005-11-22,-1.3216
2005-12-01,4.9107
2005-12-08,2.1277
2005-12-09,-2.0833
2005-12-12,-4.2553
2005-12-23,-6.6667
2005-12-28,9.2857
2005-12-29,16.9935
2005-12-30,-2.2346
2006-01-04,10.4762
2006-01-05,-6.8966
2006-01-19,3.7037
2006-01-23,0.0
2006-01-24,10.7143
2006-01-25,9.354800000000001
2006-01-26,8.1121
2006-01-27,-6.8213
2006-02-03,-0.4392
2006-02-07,-6.6176
2006-02-09,7.0866
2006-02-13,-7.6471
2006-02-16,-1.2739
2006-02-21,-1.6129
2006-02-23,2.459
2006-02-27,1.6
2006-02-28,11.811
2006-03-03,-15.493
2006-03-06,0.0
2006-03-09,2.5
2006-03-13,-12.1951
2006-03-20,10.0
2006-03-22,6.9024
2006-03-23,-0.6299
2006-03-29,16.0063
2006-03-30,14.5321
2006-03-31,6.7541
2006-04-03,4.169
2006-04-04,-4.5384
2006-04-05,7.3034
2006-04-06,6.8063
2006-04-07,-3.9215999999999998
2006-04-10,-7.1429
2006-04-11,-0.4396
2006-04-13,-0.3311
2006-04-17,10.652
2006-04-18,1.7139
2006-04-19,3.3147
2006-04-20,-3.8095
2006-04-24,2.1782
2006-04-25,1.7442
2006-04-26,3.8095
2006-04-27,0.9174
2006-04-28,9.0909
2006-05-01,8.3333
2006-05-02,2.2163
2006-05-03,-4.8022
2006-05-04,1.581
2006-05-05,9.776299999999999
2006-05-08,-2.9508
2006-05-09,5.0676
2006-05-10,21.6651
2006-05-11,8.0
2006-05-12,-3.8624
2006-05-15,-2.0362999999999998
2006-05-16,-1.1868
2006-05-17,-10.7384
2006-05-18,-15.9952
2006-05-19,0.8435
2006-05-23,9.7744
2006-05-24,-4.7945
2006-05-25,2.9002
2006-05-26,-4.2167
2006-05-30,-3.2847
2006-05-31,-4.0
2006-06-02,1.6018
2006-06-05,-0.9575
2006-06-07,0.7813
2006-06-08,-11.0853
2006-06-09,4.8823
2006-06-12,-16.8745
2006-06-13,-5.0
