ticker,AZLCZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-21,0.0
2002-07-12,19.7403
2002-08-05,4.1215
2002-08-22,0.0
2002-08-30,0.0
2002-10-15,0.0
2002-11-19,4.6875
2002-12-13,0.0
2003-01-13,1.8904999999999998
2003-06-23,1.5625
2003-06-25,0.2404
2007-06-26,186.1258
2007-06-29,0.651
2007-07-11,23.358
2007-07-24,0.0
2007-07-26,2.7027
2007-07-30,18.4211
2007-07-31,-14.2222
2007-08-16,1.0363
2007-08-21,1.5385
2008-05-30,41.919200000000004
2008-07-22,-2.1352
2008-07-23,0.0
2008-07-28,1.8182
2008-07-30,-1.7856999999999998
2008-07-31,-0.3636
2008-09-26,67.8832
2008-10-06,0.0
2008-10-10,-48.4783
2008-10-13,-7.173
2008-10-16,-2.2727
2008-10-17,16.2791
2008-12-10,-25.0
2008-12-30,-19.4667
2008-12-31,-3.3113
2009-01-08,-15.411
2009-01-15,-0.4049
2009-02-03,5.0
2009-02-10,31.6299
2009-02-11,-7.3529
2009-02-23,-11.1111
2009-02-24,-0.7143
2009-02-25,-10.0719
2009-02-27,0.0
2009-03-02,0.8
2009-03-03,-2.3810000000000002
2009-03-09,-14.6341
2009-03-10,23.8095
2009-03-13,-19.2308
2009-03-18,0.0
2009-03-25,0.0
2009-04-16,0.0095
2009-04-27,19.0363
2009-05-04,-6.4
2009-05-28,21.3675
2009-07-02,-0.7042
2009-07-23,2.1277
2009-08-19,-1.3889
2009-08-24,0.9155
2009-08-27,40.2652
2009-08-28,-27.8607
2009-09-17,-0.6552
2009-09-21,0.6595
2009-09-22,0.0
2009-10-20,-0.6897
2009-10-21,1.0417
2009-11-11,1.7182
2009-11-27,0.0
2009-11-30,-1.3514
2009-12-02,2.7397
2009-12-03,-8.3333
2009-12-08,-5.4545
2009-12-10,0.0
2009-12-17,0.0
2009-12-31,3.8462
2010-01-14,0.0
2010-01-21,0.0
2010-02-18,0.0
2010-02-26,0.0
2010-03-03,9.6296
2010-03-05,5.4054
2010-04-09,-13.4551
2010-04-15,-1.674
2010-05-24,0.0
2010-08-17,0.0
2010-08-19,0.0
2010-11-09,1.6949
2010-11-22,-7.2222
2010-11-23,7.7844
2010-11-29,-7.037
2010-12-02,2.988
2010-12-08,-1.1605
2010-12-13,0.0
2010-12-14,0.0
2010-12-28,0.0
2011-01-05,0.0
2011-01-06,1.7612999999999999
2011-01-07,3.8462
2011-01-11,-6.4815
2011-01-13,1.1881
2011-02-07,2.544
