ticker,ANPFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-02,8.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,85.1852
2015-01-09,0.0
2015-01-12,15.0
2015-01-13,0.0
2015-01-14,4.3478
2015-01-15,0.0
2015-01-16,8.3333
2015-01-20,7.6923
2015-01-21,25.0
2015-01-22,28.5714
2015-01-23,33.3333
2015-01-26,-8.3333
2015-01-27,12.7273
2015-01-28,0.0
2015-01-29,12.9032
2015-01-30,-5.7143
2015-02-02,13.6364
2015-02-03,6.6667
2015-02-04,2.5
2015-02-05,0.0
2015-02-06,2.439
2015-02-09,2.3810000000000002
2015-02-10,-2.3256
2015-02-12,0.0
2015-02-13,0.0
2015-02-17,0.0
2015-02-18,4.7619
2015-02-19,2.2727
2015-02-20,-4.4444
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,4.6512
2015-02-26,0.0
2015-02-27,2.2222
2015-03-02,-8.6957
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,-4.7619
2015-03-06,-5.0
2015-03-09,2.6316
2015-03-10,2.5641
2015-03-11,0.0
2015-03-12,-5.0
2015-03-13,0.0
2015-03-16,2.6316
2015-03-17,-2.5641
2015-03-18,2.6316
2015-03-19,2.5641
2015-03-20,0.0
2015-03-23,-5.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,2.6316
2015-03-31,-2.5641
2015-04-01,0.0
2015-04-02,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.2632
2015-04-09,-4.1995000000000005
2015-04-10,-4.1096
2015-04-13,0.0
2015-04-14,-5.7143
2015-04-15,6.0606
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,-2.8571
2015-04-21,-2.9412000000000003
2015-04-22,3.0303
2015-04-23,11.7647
2015-04-24,-0.7895
2015-04-27,-9.8143
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-04,0.0
2015-05-05,-26.4706
2015-05-06,-36.0
2015-05-07,6.25
2015-05-08,-64.7059
2015-05-11,66.6667
2015-05-12,50.0
2015-05-13,33.3333
2015-05-14,27.5
2015-05-15,1.9607999999999999
2015-05-18,15.3846
2015-05-19,10.0
2015-05-20,4.5455
2015-05-21,-13.0435
2015-05-22,16.6667
2015-05-26,0.0
2015-05-27,1.4285999999999999
2015-05-28,-1.4085
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
