ticker,BLCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-08,46.4375
2020-07-09,10.9262
2020-07-10,-5.733
2020-07-13,-19.102
2020-07-14,-11.554
2020-07-15,8.3856
2020-07-16,-5.4737
2020-07-17,-0.8909
2020-07-20,-0.8989
2020-07-21,-0.9637
2020-07-22,-8.2999
2020-07-23,-4.1199
2020-07-24,-11.7187
2020-07-27,3.7611
2020-07-28,-2.7008
2020-07-29,32.0672
2020-07-30,-13.4403
2020-07-31,1.4696
