ticker,PLNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-06,0.0
2015-08-07,14.0625
2015-08-10,2.3562
2015-08-11,-6.9593
2015-08-12,-3.3947
2015-08-13,10.542
2015-08-14,1.1853
2015-08-17,1.7039
2015-08-18,-0.5236
2015-08-19,-6.3684
2015-08-20,-4.4969
2015-08-21,-4.4144
2015-08-24,-7.3276
2015-08-25,1.4618
2015-08-26,4.1257
2015-08-27,0.9434
2015-08-28,4.5483
2015-08-31,6.1383
2015-09-01,2.4144
2015-09-02,1.4254
2015-09-03,0.5405
2015-09-04,-0.0538
2015-09-08,-1.1296
2015-09-09,-3.5365
2015-09-10,-0.5076
2015-09-11,0.3968
2015-09-14,-0.6211
2015-09-15,0.0
2015-09-16,2.5568
2015-09-17,1.8283
2015-09-18,-2.9924
2015-09-21,0.2804
2015-09-22,-2.8523
2015-09-23,1.612
2015-09-24,0.3966
2015-09-25,2.1445
2015-09-28,-3.3149
2015-09-29,0.0
2015-09-30,-2.0571
2015-10-01,-5.5426
2015-10-02,-1.5442
2015-10-05,2.133
2015-10-06,0.7371
2015-10-07,-1.7683
2015-10-08,3.0416
2015-10-09,-0.4217
2015-10-12,-3.6298
2015-10-13,3.892
2015-10-14,1.2085
2015-10-15,2.2687
2015-10-16,-0.5254
2015-10-19,-0.7629
2015-10-20,-0.9462
2015-10-21,-2.2687
2015-10-22,2.4435000000000002
2015-10-23,0.4174
2015-10-26,-1.6033
2015-10-27,-1.3277
2015-10-28,3.2416
2015-10-29,0.0592
2015-10-30,-3.2564
2015-11-02,-0.4896
2015-11-03,-1.4144999999999999
2015-11-04,-0.8734
2015-11-05,-1.1957
2015-11-06,-2.1656
2015-11-09,-2.4089
2015-11-10,0.1334
2015-11-11,0.7995
2015-11-12,-0.6609
2015-11-13,6.9195
2015-11-16,-1.2446
2015-11-17,1.0082
2015-11-18,0.1871
2015-11-19,-0.6849
2015-11-20,0.0
2015-11-23,-0.9404
2015-11-24,-1.5823
2015-11-25,1.6077
2015-11-27,0.0633
2015-11-30,0.0
2015-12-01,0.9488
2015-12-02,0.9398
2015-12-03,-2.1105
2015-12-04,0.6341
2015-12-07,0.7561
2015-12-08,-0.3752
2015-12-09,-0.2511
2015-12-10,-0.5035
2015-12-11,-0.9488
2015-12-14,-2.6181
2015-12-15,2.1639
2015-12-16,0.8344
2015-12-17,-1.3367
2015-12-18,-2.5806
2015-12-21,1.1258
2015-12-22,2.816
2015-12-23,-0.9554
2015-12-24,1.9293
