ticker,MIME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-19,1.0
2015-11-20,0.495
2015-11-23,0.6897
2015-11-24,-0.0978
2015-11-25,-0.2938
2015-11-27,-1.0806
2015-11-30,0.3972
2015-12-01,3.4619
2015-12-02,-2.3901
2015-12-03,-5.9745
2015-12-04,1.875
2015-12-07,0.0
2015-12-08,0.5112
2015-12-09,-0.9156
2015-12-10,2.8747
2015-12-11,3.992
2015-12-14,-4.0307
2015-12-15,0.0
2015-12-16,0.2
2015-12-17,-0.1996
2015-12-18,-1.1
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,-0.4044
2015-12-24,0.203
2015-12-28,-2.6342
2015-12-29,-3.1217
2015-12-30,3.5446
2015-12-31,-0.4149
2016-01-04,-5.625
2016-01-05,-1.4349
2016-01-06,0.7839
2016-01-07,-0.7778
2016-01-08,-3.6954000000000002
2016-01-11,0.3488
2016-01-12,-0.927
2016-01-13,-4.4444
2016-01-14,1.4687999999999999
2016-01-15,-6.8758
2016-01-19,0.0
2016-01-20,1.5544
2016-01-21,1.5306
2016-01-22,-0.1256
2016-01-25,-3.5220000000000002
2016-01-26,-9.9087
2016-01-27,-2.8944
2016-01-28,-7.6006
2016-01-29,22.4214
2016-02-01,21.3419
2016-02-02,-4.7774
2016-02-03,14.0251
2016-02-04,3.8
2016-02-05,-0.289
2016-02-08,-3.5749
2016-02-09,-6.1122
2016-02-10,0.2134
2016-02-11,-1.065
2016-02-12,2.3681
2016-02-16,0.8412
2016-02-17,-1.0428
2016-02-18,2.4236
2016-02-19,-1.6461000000000001
2016-02-22,0.523
2016-02-23,-3.8502
2016-02-24,3.7879
2016-02-25,-0.7299
2016-02-26,4.2017
2016-02-29,-5.6452
2016-03-01,9.188
2016-03-02,4.9902
2016-03-03,0.2796
2016-03-04,-4.5539
2016-03-07,-4.3817
2016-03-08,0.3055
2016-03-09,-5.1777
2016-03-10,-7.2805
2016-03-11,2.8868
2016-03-14,1.2346
2016-03-15,8.0931
2016-03-16,5.9487
2016-03-17,1.1617
2016-03-18,-4.3062000000000005
2016-03-21,5.6
2016-03-22,0.2841
2016-03-23,-4.9103
2016-03-24,1.4896
2016-03-28,-1.7612999999999999
2016-03-29,-1.0956
2016-03-30,0.7049
2016-03-31,-2.7
2016-04-01,-0.8222
2016-04-04,-0.1036
2016-04-05,3.4232
2016-04-06,-2.3069
2016-04-07,-0.2053
2016-04-08,-8.4362
2016-04-11,3.1461
2016-04-12,-6.427
