ticker,TTOO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-07,30.1818
2014-08-08,-6.4246
2014-08-11,2.2388
2014-08-12,10.6569
2014-08-13,10.6201
2014-08-14,3.1008
2014-08-15,-1.6773
2014-08-18,15.2353
2014-08-19,0.051
2014-08-20,17.1939
2014-08-21,-11.0579
2014-08-22,6.4121
2014-08-25,-1.9319
2014-08-26,4.1745
2014-08-27,-4.5475
2014-08-28,4.2453
2014-08-29,5.0226
2014-09-02,-10.5127
2014-09-03,1.0592
2014-09-04,-4.7165
2014-09-05,-1.7
2014-09-08,1.9837
2014-09-09,-2.2943
2014-09-10,-5.3088
2014-09-11,-0.6469
2014-09-12,-3.6896
2014-09-15,-0.2254
2014-09-16,-2.7103
2014-09-17,-1.509
2014-09-18,-4.9498999999999995
2014-09-19,0.248
2014-09-22,4.7001
2014-09-23,9.5688
2014-09-24,-3.3423
2014-09-25,0.2231
2014-09-26,0.1669
2014-09-29,-1.1667
2014-09-30,1.6863000000000001
2014-10-01,-4.0354
2014-10-02,1.9585
2014-10-03,1.1299
2014-10-06,-1.2291
2014-10-07,-4.5249
2014-10-08,0.0
2014-10-09,-7.6422
2014-10-10,-2.7582
2014-10-13,-2.5726
2014-10-14,-2.979
2014-10-15,1.8144
2014-10-16,-2.3304
2014-10-17,-0.9123
2014-10-20,-1.4873
2014-10-21,2.3005
2014-10-22,-2.5299
2014-10-23,3.8212
2014-10-24,-2.0139
2014-10-27,-0.4252
2014-10-28,4.2705
2014-10-29,9.9659
2014-10-30,0.9932
2014-10-31,-0.7376
2014-11-03,-4.7678
2014-11-04,-2.2107
2014-11-05,-5.8511
2014-11-06,2.8249
2014-11-07,2.2665
2014-11-10,2.4849
2014-11-11,0.3932
2014-11-12,-5.1567
2014-11-13,2.34
2014-11-14,7.2629
2014-11-17,-0.3762
2014-11-18,3.2725
2014-11-19,-2.7422
2014-11-20,-4.0727
2014-11-21,8.3605
2014-11-24,6.5702
2014-11-25,1.2443
2014-11-26,1.0056
2014-11-28,-0.885
2014-12-01,-5.0781
2014-12-02,10.2881
2014-12-03,2.0789
2014-12-04,-1.2533
2014-12-05,-1.8509
2014-12-08,-8.3513
2014-12-09,5.4674
2014-12-10,-0.1672
2014-12-11,-6.5885
2014-12-12,2.6898
2014-12-15,1.2806
2014-12-16,1.8965999999999998
2014-12-17,2.1433
2014-12-18,0.1104
2014-12-19,-2.096
2014-12-22,-0.338
2014-12-23,1.6959
2014-12-24,4.5024999999999995
