ticker,BANM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-14,1625.0
2015-09-16,-5.3333
2015-09-18,15.493
2015-09-21,7.3171
2015-09-22,2.2727
2015-09-23,-5.5556
2015-09-24,1.1764999999999999
2015-09-25,2.3256
2015-09-29,-3.4091
2015-10-01,-2.3529
2015-10-02,0.0
2015-10-05,10.8434
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,-14.1304
2015-10-09,1.2658
2015-10-12,-1.25
2015-10-13,-2.5316
2015-10-15,10.3896
2015-10-16,8.2353
2015-10-19,25.0
2015-10-20,-4.3478
2015-10-21,12.7273
2015-10-22,4.0323
2015-10-23,2.3256
2015-10-26,4.5455
2015-10-27,2.8986
2015-10-28,0.7042
2015-10-29,-6.2937
2015-10-30,0.7463
2015-11-02,-7.4074
2015-11-03,-7.2
2015-11-04,7.7586
2015-11-06,3.2
2015-11-09,0.0
2015-11-10,-3.1008
2015-11-11,12.0
2015-11-12,-6.4286
2015-11-16,-4.5802
2015-11-17,4.8
2015-11-18,-0.7634
2015-11-19,0.0
2015-11-20,-2.3077
2015-11-23,5.5118
2015-11-24,-2.2388
2015-11-25,2.2901
2015-11-27,0.7463
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,-1.4815
2015-12-03,1.5038
2015-12-04,-6.6667
2015-12-07,0.0
2015-12-08,3.1746
2015-12-09,1.5385
2015-12-10,2.2727
2015-12-11,-2.2222
2015-12-14,2.2727
2015-12-15,-2.2222
2015-12-16,0.0
2015-12-17,2.2727
2015-12-18,-3.7037
2015-12-21,-1.5385
2015-12-23,-0.7812
2015-12-24,7.0866
2015-12-28,0.7353
2015-12-29,-8.7591
2015-12-30,4.0
2015-12-31,-3.0769
2016-01-04,-1.5873
2016-01-05,-35.4032
2016-01-06,0.4994
2016-01-07,3.1056
2016-01-08,32.5301
2016-01-11,-0.9091
2016-01-12,-19.2661
2016-01-13,-7.7273
2016-01-14,7.1429
2016-01-15,-2.2989
2016-01-19,-5.8824
2016-01-20,8.1094
2016-01-21,0.0
2016-01-22,27.186
2016-01-27,-13.6364
2016-01-28,0.0
2016-02-01,-10.526299999999999
2016-02-02,5.8824
2016-02-03,16.6667
2016-02-04,3.8095
2016-02-05,10.0917
2016-02-08,-7.5
2016-02-09,-22.973
2016-02-10,0.5848
2016-02-11,0.0
2016-02-18,-11.6279
2016-02-19,6.5789
2016-02-22,-1.2346
2016-02-24,-1.25
2016-02-25,1.2658
2016-03-01,5.75
2016-03-02,18.2033
