ticker,DT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-01,49.0625
2019-08-02,9.3082
2019-08-05,-8.9375
2019-08-06,3.2856
2019-08-07,6.6476
2019-08-08,-0.5736
2019-08-09,-2.8846
2019-08-12,-7.8416
2019-08-13,1.4181
2019-08-14,-9.1949
2019-08-15,-0.4666
2019-08-16,4.9695
2019-08-19,7.0567
2019-08-20,2.1277
2019-08-21,2.2876
2019-08-22,-3.4345
2019-08-23,-1.158
2019-08-26,-0.1255
2019-08-27,-1.9689999999999999
2019-08-28,-1.6667
2019-08-29,1.8688
2019-08-30,-1.9625
2019-09-03,0.5222
2019-09-04,3.8095
2019-09-05,3.1276
2019-09-06,-3.7606
2019-09-09,-9.6218
2019-09-10,-6.5086
2019-09-11,3.9781
2019-09-12,1.626
2019-09-13,-1.0824
2019-09-16,-4.6622
2019-09-17,0.4491
2019-09-18,3.2787
2019-09-19,2.7417
2019-09-20,0.7959
2019-09-23,1.0683
2019-09-24,-0.7813
2019-09-25,-3.1959
2019-09-26,-4.1148
2019-09-27,-5.4391
2019-09-30,-1.4776
2019-10-01,-3.053
2019-10-02,0.3867
2019-10-03,5.4485
2019-10-04,3.7578
2019-10-07,-1.9115
2019-10-08,-2.1026
2019-10-09,-0.2619
2019-10-10,-2.8361
2019-10-11,1.0811
2019-10-14,-1.0695000000000001
2019-10-15,-1.6216
2019-10-16,-5.2198
2019-10-17,3.942
2019-10-18,0.0558
2019-10-21,1.8395000000000001
2019-10-22,-1.2589000000000001
2019-10-23,1.5521
2019-10-24,2.5109
2019-10-25,-1.5974
2019-10-28,2.2727
2019-10-29,-2.0635
2019-10-30,6.7531
2019-10-31,2.3785
2019-11-01,4.5477
2019-11-04,-1.7021
2019-11-05,-1.4910999999999999
2019-11-06,-2.3438
2019-11-07,-4.15
2019-11-08,1.1998
2019-11-11,4.0206
2019-11-12,-0.1487
2019-11-13,5.8561
2019-11-14,-1.1252
2019-11-15,1.7069999999999999
2019-11-18,2.8904
2019-11-19,1.314
2019-11-20,5.2326
2019-11-21,6.8848
2019-11-22,-3.8171
2019-11-25,3.8446
2019-11-26,4.3392
2019-11-27,2.4418
2019-11-29,-1.0428
2019-12-02,-1.0162
2019-12-03,2.7376
2019-12-04,-7.4389
2019-12-05,0.3599
2019-12-06,-2.749
2019-12-09,0.0819
2019-12-10,-0.3275
2019-12-11,-1.3963
2019-12-12,-0.7913
2019-12-13,2.267
2019-12-16,3.9819
2019-12-17,-2.7635
2019-12-18,0.0406
