ticker,ISHM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-06,0.0
2005-01-07,2.719
2005-01-10,-2.9412000000000003
2005-01-11,1.2121
2005-01-12,0.0
2005-01-13,0.0
2005-01-14,-1.4969999999999999
2005-01-18,-1.2158
2005-01-19,0.6154
2005-01-20,-0.6116
2005-01-21,-0.6154
2005-01-24,2.1672
2005-01-25,5.1515
2005-01-26,2.5937
2005-01-27,0.0
2005-01-28,-0.2809
2005-01-31,-2.2535
2005-02-01,1.4409
2005-02-02,0.8523
2005-02-03,-0.5634
2005-02-04,2.5496
2005-02-07,2.7624
2005-02-08,2.1505
2005-02-09,-5.0
2005-02-10,0.277
2005-02-11,2.2099
2005-02-14,-5.4054
2005-02-15,-2.0
2005-02-16,6.1224
2005-02-17,2.4725
2005-02-18,1.8767
2005-02-22,-1.5789
2005-02-23,-4.8128
2005-02-24,-1.6854
2005-02-25,0.5714
2005-02-28,-0.8523
2005-03-01,-6.8768
2005-03-02,0.0
2005-03-03,-6.1538
2005-03-04,-8.1967
2005-03-07,-13.9286
2005-03-08,9.9585
2005-03-09,1.5093999999999999
2005-03-10,0.3717
2005-03-11,4.8148
2005-03-14,14.4876
2005-03-15,-3.0864
2005-03-16,-9.5541
2005-03-17,-1.7606000000000002
2005-03-18,-15.7706
2005-03-21,-7.234
2005-03-22,-8.2569
2005-03-23,2.0
2005-03-24,7.8431
2005-03-28,0.0
2005-03-29,-13.6364
2005-03-30,-1.5789
2005-03-31,1.0695000000000001
2005-04-01,4.7619
2005-04-04,3.5354
2005-04-05,-7.3171
2005-04-06,-6.3158
2005-04-07,1.6854
2005-04-08,-1.6575
2005-04-11,5.0562
2005-04-12,-3.7433
2005-04-13,-5.5556
2005-04-14,-11.7647
2005-04-15,-4.6667
2005-04-18,-16.0839
2005-04-19,0.8333
2005-04-20,15.7025
2005-04-21,-0.7143
2005-04-22,2.8777
2005-04-25,-10.4895
2005-04-26,-11.7188
2005-04-27,-7.9646
2005-04-28,0.0
2005-04-29,-10.5769
2005-05-02,-5.3763
2005-05-03,15.9091
2005-05-04,23.5294
2005-05-05,10.3175
2005-05-06,-23.0216
2005-05-09,-5.6075
2005-05-10,-5.9406
2005-05-11,-9.473700000000001
2005-05-12,3.4884
2005-05-13,-2.2472
2005-05-16,9.1954
2005-05-17,-5.2632
2005-05-18,-6.6667
2005-05-19,1.1905000000000001
2005-05-20,0.0
2005-05-23,1.1764999999999999
2005-05-24,-1.1628
2005-05-25,-1.1764999999999999
