ticker,DBUB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-21,9.0909
2011-04-25,0.0
2011-04-26,-8.3333
2011-04-27,-4.5455
2011-04-28,14.1071
2011-04-29,0.0
2011-05-02,-0.6781
2011-05-03,-7.563
2011-05-04,8.75
2011-05-05,-8.046
2011-05-06,-6.3636
2011-05-09,14.5631
2011-05-10,-0.1059
2011-05-11,-8.3775
2011-05-12,1.8519
2011-05-13,-13.6364
2011-05-16,-3.1579
2011-05-17,19.5652
2011-05-18,4.5455
2011-05-19,4.3478
2011-05-20,-2.0833
2011-05-23,7.234
2011-05-24,0.0
2011-05-25,9.8214
2011-05-26,-2.439
2011-05-27,-11.1111
2011-05-31,8.3333
2011-06-01,-15.3846
2011-06-02,9.0909
2011-06-03,8.3333
2011-06-06,-7.6923
2011-06-07,4.1667
2011-06-08,-20.0
2011-06-09,-8.0
2011-06-10,0.0
2011-06-13,8.6957
2011-06-14,-9.0
2011-06-15,0.0
2011-06-16,-1.0989
2011-06-17,11.1111
2011-06-20,0.0
2011-06-21,-5.0
2011-06-22,11.5789
2011-06-23,0.0
2011-06-24,-5.6604
2011-06-27,15.0
2011-06-28,4.3478
2011-06-29,-8.3333
2011-06-30,9.0909
2011-07-01,0.0
2011-07-05,-8.3333
2011-07-06,9.0909
2011-07-07,-1.6667
2011-07-08,-16.1017
2011-07-11,0.0
2011-07-12,11.1111
2011-07-13,0.0
2011-07-14,-9.0909
2011-07-15,10.0
2011-07-18,9.0909
2011-07-19,-20.8333
2011-07-20,25.2632
2011-07-21,-3.3613
2011-07-22,3.4783
2011-07-25,-7.563
2011-07-26,-9.0909
2011-07-27,-4.0
2011-07-28,-4.1667
2011-07-29,0.0
2011-08-01,19.5652
2011-08-02,-18.1818
2011-08-03,16.6667
2011-08-04,-14.2857
2011-08-05,16.6667
2011-08-08,0.0
2011-08-09,-23.8095
2011-08-10,0.0
2011-08-11,12.5
2011-08-12,0.0
2011-08-15,22.2222
2011-08-16,-18.1818
2011-08-17,-11.1111
2011-08-18,1.25
2011-08-19,12.3457
2011-08-22,9.8901
2011-08-23,10.0
2011-08-24,-4.5455
2011-08-25,-4.7619
2011-08-26,0.0
2011-08-29,20.0
2011-08-30,-8.3333
2011-08-31,9.0909
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,-8.3333
2011-09-07,6.3636
2011-09-08,0.0
2011-09-09,-1.7094
2011-09-13,4.3478
2011-09-14,0.0
2011-09-15,-16.6667
2011-09-16,25.0
