ticker,PPAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-01,0.6711
2000-06-15,-4.0
2000-10-05,1.3889
2001-01-10,2.7397
2002-01-03,5.6667
2002-01-29,0.9464
2002-04-02,0.0
2002-08-30,1.875
2002-11-19,0.0
2002-11-25,0.0
2003-06-27,-4.2945
2003-06-30,4.1667
2004-02-27,0.9231
2004-03-01,0.0
2004-03-11,-2.439
2004-08-17,6.25
2004-08-19,-0.2941
2004-08-20,0.059
2004-09-23,-0.059
2005-02-08,0.295
2005-05-03,-1.1764999999999999
2005-05-24,1.1905000000000001
2005-06-10,-0.5882
2005-06-15,0.5917
2005-08-10,-3.5294
2005-09-15,-23.9264
2005-09-22,32.2581
2005-09-27,0.0
2005-09-28,-2.439
2005-10-21,2.5
2005-11-07,1.2195
2006-01-19,8.4337
2006-02-10,0.0
2006-05-19,10.5556
2006-09-27,-7.5377
2006-10-02,7.6087
2006-10-10,0.5051
2007-03-12,0.5025
2007-03-21,-1.0
2007-03-29,-4.0404
2007-04-05,4.2105
2007-05-10,-0.5051
2007-05-11,0.0
2007-05-15,-2.335
2007-05-30,0.8316
2007-07-03,0.0
2007-07-11,-5.732
2007-09-24,0.6124
2007-09-25,-3.2609
2007-11-05,-1.1236
2007-11-06,-6.5908999999999995
2007-12-27,11.9221
2008-01-07,0.0
2008-02-20,0.0
2008-02-25,0.0
2008-03-07,-3.8043
2008-03-24,-2.8249
2008-03-25,-5.814
2008-04-03,4.9383
2008-04-04,0.0
2008-06-26,6.1947
2008-08-15,-4.4444
2008-08-19,0.0
2008-10-08,-11.3703
2008-12-03,-5.9211
2009-05-05,-1.0601
2009-09-11,1.0072
2009-11-18,-0.2849
2010-01-14,-2.1583
2010-02-03,-5.8824
2010-02-08,-6.25
2010-03-05,-16.318
2010-03-25,36.0
2010-06-30,-8.4871
2010-12-20,14.2857
2010-12-29,0.0
2011-03-14,-2.509
2011-05-03,-2.9412000000000003
2011-05-04,9.0909
2011-06-23,-5.2265
2011-07-26,0.0
2011-10-31,-29.1513
2011-11-01,4.1667
2011-11-14,-12.0
2011-11-15,4.5455
2012-04-10,-2.7624
2012-04-13,37.5
2012-06-07,4.5643
2012-06-21,-3.9683
2012-06-29,-10.7438
2012-07-03,11.1111
2012-07-10,-9.8333
2012-07-12,-0.1848
2012-07-20,11.1111
2012-08-15,-10.0
2012-09-12,0.463
2012-09-13,-3.7037
2012-09-18,0.0
2012-09-20,16.3462
2012-09-21,9.0909
2012-10-10,-18.1818
