ticker,RDVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-27,-86.6379
2018-03-28,-7.5806000000000004
2018-03-29,6.4572
2018-04-02,13.9344
2018-04-03,2.3022
2018-04-04,6.8917
2018-04-05,-4.7368
2018-04-06,8.8398
2018-04-09,20.6853
2018-04-10,-3.7855
2018-04-11,-3.4973
2018-04-12,-6.0023
2018-04-13,-5.4217
2018-04-16,-9.4268
2018-04-17,0.8439
2018-04-18,6.9735
2018-04-19,1.6949
2018-04-20,-2.4359
2018-04-23,-4.205
2018-04-24,-8.7791
2018-04-25,-3.9098
2018-04-26,-2.6604
2018-04-27,1.2862
2018-04-30,0.0
2018-05-01,-3.3333
2018-05-02,-2.2989
2018-05-03,-1.5126
2018-05-04,-1.0239
2018-05-07,-5.8621
2018-05-08,-4.0293
2018-05-09,-4.5802
2018-05-10,-8.8
2018-05-11,15.1316
2018-05-14,8.0
2018-05-15,75.3086
2018-05-16,-21.5292
2018-05-17,-3.7179
2018-05-18,2.6631
2018-05-21,-2.3346
2018-05-22,4.2497
2018-05-23,3.0573
2018-05-24,-3.0902
2018-05-25,-4.2092
2018-05-29,-3.1957
2018-05-30,-1.1004
2018-05-31,0.8345
2018-06-01,9.1034
2018-06-04,-3.6662
2018-06-05,0.1312
2018-06-06,1.4417
2018-06-07,1.8088
2018-06-08,4.1878
2018-06-11,-3.5323
2018-06-12,3.7879
2018-06-13,-0.6083
2018-06-14,-4.7736
2018-06-15,-3.3419
2018-06-18,-2.1277
2018-06-19,0.9511
2018-06-20,0.6729
2018-06-21,2.8075
2018-06-22,6.1118
2018-06-25,12.7451
2018-06-26,-4.3478
2018-06-27,-5.6818
2018-06-28,4.5783000000000005
2018-06-29,-0.9217
2018-07-02,3.4884
2018-07-03,3.0337
2018-07-05,-2.3991
2018-07-06,4.0223
2018-07-09,-2.1482
2018-07-10,-10.5379
2018-07-11,1.8405
2018-07-12,-2.7711
2018-07-13,-0.3717
2018-07-16,-0.4975
2018-07-17,-6.0
2018-07-18,0.133
2018-07-19,6.3745
2018-07-20,-4.3695
2018-07-23,-6.2663
2018-07-24,-2.507
2018-07-25,6.7143
2018-07-26,1.071
2018-07-27,0.6623
2018-07-30,-3.9474
2018-07-31,-0.8219
2018-08-01,1.7955999999999999
2018-08-02,-0.8141
2018-08-03,3.9672
2018-08-06,-1.4474
2018-08-07,-0.267
2018-08-08,3.7483
2018-08-09,-3.0968
2018-08-10,3.3289
2018-08-13,-2.7062
2018-08-14,-1.0596
