ticker,NXTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-28,0.0
2003-08-29,0.0
2003-09-04,204.0
2003-09-30,261.8421
2003-10-03,7.2727
2003-10-08,35.5932
2003-10-09,50.0
2003-10-10,0.8333
2003-10-13,23.9669
2003-10-16,19.3333
2003-10-17,0.0
2003-10-28,25.6983
2003-10-29,22.2222
2003-11-06,45.4545
2003-11-11,-6.25
2003-11-12,44.6667
2003-11-17,7.2
2003-11-18,11.194
2003-11-19,2.349
2003-11-20,17.377
2003-11-21,0.0
2003-11-24,2.7933
2003-11-25,0.5435
2003-11-26,-2.7027
2003-11-28,-2.7778
2003-12-01,5.7143
2003-12-02,2.7027
2003-12-03,0.0
2003-12-04,1.0526
2003-12-05,0.0
2003-12-08,3.6458
2003-12-09,6.0302
2003-12-10,8.7678
2003-12-11,1.0893
2003-12-12,-3.4483
2003-12-15,-13.392900000000001
2003-12-16,-17.5258
2003-12-17,11.9375
2003-12-18,-1.1724999999999999
2003-12-19,3.9548
2003-12-22,5.9783
2003-12-23,-2.0513
2003-12-24,-0.5236
2003-12-26,-2.6316
2003-12-29,2.7027
2003-12-30,-1.0526
2003-12-31,1.5957
2004-01-02,-1.5707
2004-01-05,-1.0638
2004-01-06,3.2258
2004-01-07,0.5208
2004-01-08,6.2176
2004-01-09,-9.7561
2004-01-12,1.6216
2004-01-13,-1.5957
2004-01-14,-3.2432
2004-01-15,-6.7039
2004-01-16,-4.1916
2004-01-20,-3.125
2004-01-21,6.4516
2004-01-22,0.6061
2004-01-23,5.4217
2004-01-26,2.8571
2004-01-27,0.6667
2004-01-28,-0.1104
2004-01-29,0.5525
2004-01-30,-3.2967
2004-02-02,-0.5682
2004-02-03,-0.5714
2004-02-04,-5.7471
2004-02-05,-6.0976
2004-02-06,-1.2987
2004-02-09,0.0
2004-02-10,0.0
2004-02-11,-1.3158
2004-02-12,-7.3333
2004-02-13,-0.7194
2004-02-17,-10.8696
2004-02-18,0.0
2004-02-19,22.7642
2004-02-20,10.596
2004-02-23,7.7844
2004-02-24,-4.4444
2004-02-25,1.1628
2004-02-26,-2.2989
2004-02-27,0.0
2004-03-01,0.0
2004-03-02,-6.4706
2004-03-03,0.6289
2004-03-04,1.25
2004-03-05,0.0
2004-03-08,1.2346
2004-03-09,1.8293
2004-03-10,-5.9879999999999995
2004-03-11,5.0955
2004-03-12,3.6364
2004-03-15,-0.5848
2004-03-16,0.5882
2004-03-17,7.6023
2004-03-18,1.087
2004-03-19,-1.6129
