ticker,NVGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-21,2100.0
2018-05-08,0.0
2018-05-10,-50.0
2018-05-31,109.0727
2018-06-14,73.9282
2019-07-31,-57.5
2019-08-05,-17.647100000000002
2019-08-14,-28.5714
2019-09-12,19.8
2019-09-17,-41.5609
2019-11-08,42.8367
2019-11-25,-22.4
2020-01-21,-9.7938
2020-03-27,-98.5714
2020-03-30,100.0
2020-03-31,-15.0
2020-04-01,-0.0012
2020-04-06,-11.7637
2020-04-07,0.0
2020-04-08,13.3333
2020-04-13,-11.7647
2020-04-21,0.1347
2020-04-22,5.8574
2020-04-24,13.2075
2020-04-28,-2.7778
2020-04-29,-14.1714
2020-04-30,9.8535
2020-05-01,-3.0303
2020-05-05,0.0
2020-05-06,0.0
2020-05-08,0.0
2020-05-14,0.0
2020-05-15,-0.625
2020-05-19,-5.5346
2020-05-21,0.0
2020-05-22,-0.1332
2020-05-28,-6.6667
2020-05-29,-1.4285999999999999
2020-06-04,-20.2899
2020-06-05,0.0
2020-06-08,0.0
2020-06-15,0.0
2020-06-18,-0.1818
2020-06-24,0.0
2020-06-29,0.0
2020-07-01,0.0
2020-07-02,-8.9253
2020-07-07,-1.0
2020-07-08,1.0101
2020-07-09,0.0
2020-07-10,-18.0
2020-07-13,21.9512
2020-07-14,0.0
2020-07-15,-18.0
2020-07-16,33.9024
2020-07-20,0.0
2020-07-21,50.2732
2020-07-22,0.0
2020-07-23,18.0606
2020-07-24,-0.4107
2020-07-28,-63.7113
2020-07-29,49.1477
2020-07-30,33.3333
2020-07-31,-0.1429
