ticker,CLR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-15,-6.0
2007-05-16,1.7730000000000001
2007-05-17,1.0453
2007-05-18,1.0345
2007-05-21,-0.3413
2007-05-22,0.0
2007-05-23,2.3288
2007-05-24,-0.9371
2007-05-25,1.0135
2007-05-29,0.2007
2007-05-30,-1.1348
2007-05-31,0.6077
2007-06-01,-0.3356
2007-06-04,-0.4714
2007-06-05,1.4885
2007-06-06,-1.4667
2007-06-07,0.8119
2007-06-08,0.2685
2007-06-11,0.4016
2007-06-12,2.6
2007-06-13,2.6641
2007-06-14,0.5696
2007-06-15,1.4475
2007-06-18,-1.737
2007-06-19,-0.2525
2007-06-20,1.2025000000000001
2007-06-21,-1.7511
2007-06-22,0.2546
2007-06-25,1.7143000000000002
2007-06-26,0.0624
2007-06-27,-0.1248
2007-06-28,-0.7495
2007-06-29,0.6923
2007-07-02,-0.125
2007-07-03,-0.5006
2007-07-05,-0.8176
2007-07-06,0.8244
2007-07-09,2.8302
2007-07-10,0.6728
2007-07-11,2.9162
2007-07-12,-0.3542
2007-07-13,7.4645
2007-07-16,-1.9846
2007-07-17,1.2373
2007-07-18,1.2222
2007-07-19,-1.7563
2007-07-20,-4.7486
2007-07-23,-1.1144
2007-07-24,-4.6856
2007-07-25,-0.4356
2007-07-26,-2.3125
2007-07-27,-4.8624
2007-07-30,0.3362
2007-07-31,5.429
2007-08-01,-0.5086
2007-08-02,-2.3642
2007-08-03,-0.0654
2007-08-06,-0.3274
2007-08-07,-2.7595
2007-08-08,-1.0135
2007-08-09,-1.3652
2007-08-10,13.1488
2007-08-13,0.4893
2007-08-14,-6.4516
2007-08-15,-2.4073
2007-08-16,-1.6667
2007-08-17,-1.3559
2007-08-20,-0.4124
2007-08-21,3.9337
2007-08-22,2.7888
2007-08-23,-2.584
2007-08-24,1.3263
2007-08-27,2.2906
2007-08-28,-2.1113
2007-08-29,0.1307
2007-08-30,-3.329
2007-08-31,0.2701
2007-09-04,2.0202
2007-09-05,-1.0561
2007-09-06,0.6671
2007-09-07,-0.729
2007-09-10,2.3364
2007-09-11,0.3914
2007-09-12,2.5341
2007-09-13,0.0634
2007-09-14,1.2666
2007-09-17,4.065
2007-09-18,5.1683
2007-09-19,4.0
2007-09-20,-1.6484
2007-09-21,0.5587
2007-09-24,-1.5
2007-09-25,-2.8201
2007-09-26,-1.2768
2007-09-27,8.0541
2007-09-28,-1.3058
2007-10-01,2.3153
2007-10-02,3.7177
2007-10-03,1.4026
