ticker,AKRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-20,14.5
2019-06-21,7.5328
2019-06-24,-3.3503
2019-06-25,-5.042
2019-06-26,9.6792
2019-06-27,-6.4044
2019-06-28,3.1789
2019-07-01,-0.6266
2019-07-02,-3.5733
2019-07-03,4.5777
2019-07-05,-0.0521
2019-07-08,-6.9343
2019-07-09,-3.6414999999999997
2019-07-10,-1.8023
2019-07-11,8.762599999999999
2019-07-12,8.2199
2019-07-15,4.3763
2019-07-16,-1.0602
2019-07-17,4.9683
2019-07-18,-4.2227
2019-07-19,0.6783
2019-07-22,7.6997
2019-07-23,4.3342
2019-07-24,-2.0985
2019-07-25,11.1549
2019-07-26,2.7942
2019-07-29,-7.7718
2019-07-30,-1.3699
2019-07-31,1.8519
2019-08-01,0.7025
2019-08-02,3.8162000000000003
2019-08-05,-3.9130000000000003
2019-08-06,7.3632
2019-08-07,7.318
2019-08-08,-3.2488
2019-08-09,-4.2435
2019-08-12,0.1927
2019-08-13,1.0769
2019-08-14,-0.8371
2019-08-15,1.6884000000000001
2019-08-16,-0.6038
2019-08-19,4.7456
2019-08-20,-0.2537
2019-08-21,4.4331
2019-08-22,-1.5657999999999999
2019-08-23,-0.4595
2019-08-26,1.7401
2019-08-27,-0.8377
2019-08-28,5.1742
2019-08-29,-4.5181000000000004
2019-08-30,-2.8742
2019-09-03,-0.6496
2019-09-04,-2.0341
2019-09-05,-0.4449
2019-09-06,-3.3891999999999998
2019-09-09,-13.7625
2019-09-10,-4.1127
2019-09-11,-0.6061
2019-09-12,-1.2664
2019-09-13,-4.038
2019-09-16,-5.7426
2019-09-17,3.6765
2019-09-18,-3.7487
2019-09-19,-5.2105
2019-09-20,4.8306000000000004
2019-09-23,5.7203
2019-09-24,-0.3006
2019-09-25,-3.7186
2019-09-26,10.1253
2019-09-27,-6.019
2019-09-30,14.7252
2019-10-01,5.3187
2019-10-02,-6.9699
2019-10-03,-6.9089
2019-10-04,-4.9157
2019-10-07,-6.4876
2019-10-08,-2.6016
2019-10-09,-3.3388999999999998
2019-10-10,2.1301
2019-10-11,2.8749000000000002
2019-10-14,2.411
2019-10-15,1.0701
2019-10-16,3.8645
2019-10-17,4.893
2019-10-18,-0.7289
2019-10-21,2.9369
2019-10-22,-0.5231
2019-10-23,-3.0115
2019-10-24,3.795
2019-10-25,-0.3324
2019-10-28,-3.7161
2019-10-29,8.9065
2019-10-30,6.0881
2019-10-31,-0.5996
2019-11-01,-0.0431
