ticker,NSIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.8462
2000-01-04,-5.802
2000-01-05,0.7246
2000-01-06,-0.7194
2000-01-07,0.7246
2000-01-10,0.6295
2000-01-11,-2.5916
2000-01-12,-1.8349
2000-01-13,2.4299
2000-01-14,2.1898
2000-01-18,-5.3571
2000-01-19,6.4151
2000-01-20,7.5355
2000-01-21,-2.7205
2000-01-24,-1.6949
2000-01-25,-0.0862
2000-01-26,5.6083
2000-01-27,-4.5752
2000-01-28,-5.0514
2000-01-31,-0.4509
2000-02-01,2.3551
2000-02-02,-2.3009
2000-02-03,-1.4493
2000-02-04,4.0441
2000-02-07,1.4134
2000-02-08,2.7875
2000-02-09,-4.7458
2000-02-10,-1.6014
2000-02-11,-5.2441
2000-02-14,9.9237
2000-02-15,-5.816
2000-02-16,-2.6728
2000-02-17,3.0303
2000-02-18,-1.6543999999999999
2000-02-22,-6.4486
2000-02-23,-8.0919
2000-02-24,-6.087
2000-02-25,14.5833
2000-02-28,-0.7071
2000-02-29,2.1363
2000-03-01,-2.988
2000-03-02,0.5133
2000-03-03,6.0266
2000-03-06,-10.5973
2000-03-07,7.7586
2000-03-08,-1.6
2000-03-09,2.8455
2000-03-10,-3.9526
2000-03-13,-5.3498
2000-03-14,-3.9130000000000003
2000-03-15,-5.8258
2000-03-16,11.952
2000-03-17,7.9399
2000-03-20,-14.1153
2000-03-21,-0.463
2000-03-22,1.8605
2000-03-23,16.895
2000-03-24,-3.3203
2000-03-27,2.2727
2000-03-28,-3.2099
2000-03-29,12.7041
2000-03-30,10.2761
2000-03-31,-4.2693
2000-04-03,-6.175
2000-04-04,0.5484
2000-04-05,6.7273
2000-04-06,3.7479
2000-04-07,3.4483
2000-04-10,-9.0476
2000-04-11,0.1745
2000-04-12,-3.4843
2000-04-13,0.9025
2000-04-14,-11.806799999999999
2000-04-17,6.8966
2000-04-18,4.3643
2000-04-19,-6.0
2000-04-20,9.8646
2000-04-24,5.2817
2000-04-25,3.01
2000-04-26,8.4416
2000-04-27,-1.7964
2000-04-28,1.9817
2000-05-01,-4.9701
2000-05-02,-5.3087
2000-05-03,3.6545
2000-05-04,0.3205
2000-05-05,-2.8754
2000-05-08,0.0
2000-05-09,3.7829
2000-05-10,-3.645
2000-05-11,4.6053
2000-05-12,10.8491
2000-05-15,3.5461
2000-05-16,0.274
2000-05-17,9.0164
2000-05-18,-0.2506
2000-05-19,3.5176
2000-05-22,-5.8252
2000-05-23,-5.1546
