ticker,CBAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-03,0.0
2014-02-13,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-03-05,-11.1111
2014-03-06,0.0
2014-03-07,0.0
2014-03-17,-6.0625
2014-03-18,6.3207
2014-03-20,-6.1327
2014-03-25,6.6667
2014-04-04,-25.0
2014-04-07,16.6667
2014-04-22,-21.4286
2014-04-23,15.4545
2014-04-28,25.1969
2014-04-30,0.5031
2014-06-03,-18.6483
2014-06-04,22.9231
2014-06-16,-18.6483
2014-06-17,-0.7692
2014-06-20,-0.9302
2014-06-23,1.7214
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,-0.0019
2014-06-30,0.0019
2014-07-02,0.0
2014-07-03,0.0
2014-07-07,0.0
2014-07-08,-0.7692
2014-07-09,20.6182
2014-07-10,-6.1682
2014-07-11,-2.0531
2014-07-14,-0.701
2014-07-15,-8.167300000000001
2014-07-16,-7.5171
2014-07-17,-3.4826
2014-07-18,-2.2337
2014-07-21,4.9209
2014-07-22,-7.2027
2014-07-23,-0.722
2014-07-24,8.5455
2014-07-25,1.005
2014-07-28,-4.8093
2014-07-29,0.8711
2014-07-30,-4.0587
2014-07-31,2.2502
2014-08-01,-4.9296
2014-08-04,1.8519
2014-08-05,-1.8182
2014-08-06,1.4815
2014-08-07,-0.5474
2014-08-08,-0.7339
2014-08-11,-0.3697
2014-08-12,-0.1855
2014-08-13,3.1599
2014-08-14,-0.9009
2014-08-15,-4.7273
2014-08-18,-2.6789
2014-08-19,4.7136
2014-08-20,-3.5581
2014-08-21,-2.9126
2014-08-22,0.4
2014-08-25,0.3984
2014-08-26,3.7698
2014-08-27,0.3824
2014-08-28,4.1905
2014-08-29,-0.1828
2014-09-02,2.3810000000000002
2014-09-03,4.4723
2014-09-04,3.0822
2014-09-05,9.6346
2014-09-08,7.5758
2014-09-09,0.0
2014-09-10,0.4225
2014-09-11,1.8233000000000001
2014-09-12,1.9284
2014-09-15,0.5405
2014-09-16,-0.9409
2014-09-17,-0.8141
2014-09-18,0.9576
2014-09-19,-0.271
2014-09-22,-6.7935
2014-09-23,-0.1458
2014-09-24,0.0
2014-09-25,-4.9635
2014-09-26,2.765
2014-09-29,1.0463
2014-09-30,1.1834
2014-10-01,5.117
2014-10-02,10.5702
2014-10-03,8.6792
2014-10-06,2.4306
2014-10-07,0.452
2014-10-08,-2.0247
2014-10-09,-2.5258000000000003
2014-10-10,-6.9494
2014-10-13,7.3418
