ticker,MHYR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-19,30.4348
2011-04-21,133.3333
2011-04-25,0.0
2011-04-26,-0.1429
2011-04-29,0.1431
2011-05-04,0.0
2011-05-06,0.0
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,-28.5714
2011-05-13,-40.0
2011-05-17,83.3333
2011-05-19,-9.0909
2011-05-20,0.0
2011-05-23,2.0
2011-05-24,-21.5686
2011-05-25,-18.75
2011-05-31,100.0
2011-06-03,0.0
2011-06-09,0.0
2011-06-20,-0.7692
2011-06-23,0.0
2011-06-24,-37.9845
2011-06-28,56.25
2011-06-29,0.0
2011-07-06,-4.0
2011-07-12,0.0
2011-07-13,-16.6667
2011-07-15,0.0
2011-07-25,-18.8
2011-07-26,-0.2463
2011-09-12,3.7037
2011-09-15,7.1429
2011-09-28,-22.2222
2011-10-19,28.5714
2011-10-21,10.8889
2011-11-01,-29.6593
2011-11-02,39.6011
2011-11-17,-26.5306
2011-11-22,-2.5
2011-11-23,35.3276
2011-11-28,-26.1053
2011-11-29,-7.4074
2011-12-05,7.6923
2011-12-16,-0.2857
2011-12-20,0.2865
2011-12-21,-11.4286
2012-01-25,4.8387
2012-01-31,-15.3846
2012-02-14,3.2727
2012-02-21,5.6338
2012-02-23,0.0
2012-04-24,7.0
2012-04-26,-6.5421
2012-04-27,-41.6667
2012-05-18,0.0
2012-05-21,68.5714
2012-05-22,0.0
2012-05-30,-15.2542
2012-06-07,18.0
2012-06-11,-15.2542
2012-06-15,0.0
2012-06-19,17.2
2012-06-28,-2.7304
2012-08-23,-12.2807
2013-10-17,-80.0
2014-05-20,0.0
2014-05-29,-69.2
2014-06-10,224.6753
2014-06-24,0.0
2014-06-25,0.0
2014-06-27,0.0
2014-10-15,300.0
2016-01-27,-95.0
2016-01-29,-10.0
2016-02-02,-11.1111
2016-05-13,-12.5
2016-09-22,11.4286
2017-12-13,-10.2564
2018-03-29,-85.7143
2018-04-10,0.0
