ticker,MOD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0
2000-01-04,-2.5253
2000-01-05,2.9793
2000-01-06,1.1320999999999999
2000-01-07,-2.2388
2000-01-10,0.7634
2000-01-11,1.0101
2000-01-12,-1.25
2000-01-13,3.5443
2000-01-14,-0.489
2000-01-18,-0.7371
2000-01-19,-0.9901
2000-01-20,2.5
2000-01-21,-5.8537
2000-01-24,-0.2591
2000-01-25,-0.7792
2000-01-26,6.0209
2000-01-27,0.2469
2000-01-28,-7.1429
2000-01-31,5.0398
2000-02-01,-1.0101
2000-02-02,-1.6582
2000-02-03,-0.9079
2000-02-04,0.0
2000-02-07,2.0942
2000-02-08,1.5385
2000-02-09,2.2727
2000-02-10,0.2469
2000-02-11,-0.2463
2000-02-14,-1.4815
2000-02-15,0.0
2000-02-16,-3.5088
2000-02-17,0.5195
2000-02-18,-0.5168
2000-02-22,-0.5195
2000-02-23,-0.7363
2000-02-24,-1.7264
2000-02-25,-1.8919000000000001
2000-02-28,-5.7851
2000-02-29,6.7251
2000-03-01,0.274
2000-03-02,-1.6393
2000-03-03,0.0
2000-03-06,-1.1111
2000-03-07,0.8427
2000-03-08,2.2284
2000-03-09,5.1771
2000-03-10,-0.7772
2000-03-13,-5.7440999999999995
2000-03-14,4.1551
2000-03-15,-0.266
2000-03-16,6.4
2000-03-17,-4.2607
2000-03-20,-0.7853
2000-03-21,-0.2639
2000-03-22,2.3810000000000002
2000-03-23,0.5168
2000-03-24,1.7995
2000-03-27,-2.5253
2000-03-28,-1.0363
2000-03-29,2.0942
2000-03-30,-4.4872
2000-03-31,7.9195
2000-04-03,2.7363
2000-04-04,-2.6634
2000-04-05,-10.4478
2000-04-06,9.1667
2000-04-07,1.5267
2000-04-10,-2.7569
2000-04-11,2.0619
2000-04-12,3.0303
2000-04-13,1.9607999999999999
2000-04-14,-2.4038
2000-04-17,0.7389
2000-04-18,-2.445
2000-04-19,-1.5038
2000-04-20,0.2545
2000-04-24,-13.198
2000-04-25,16.9591
2000-04-26,-5.25
2000-04-27,4.2216
2000-04-28,-10.6329
2000-05-01,7.3654
2000-05-02,-2.1108
2000-05-03,-4.8518
2000-05-04,4.2493
2000-05-05,0.8152
2000-05-08,-5.6604
2000-05-09,1.1429
2000-05-10,-2.8249
2000-05-11,0.5814
2000-05-12,1.4451
2000-05-15,1.1396
2000-05-16,1.9718
2000-05-17,-3.8674
2000-05-18,0.0
2000-05-19,-0.5747
2000-05-22,-4.0462
