ticker,OCUL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-25,1.1538
2014-07-28,-2.3574
2014-07-29,0.4673
2014-07-30,0.3101
2014-07-31,-0.6182
2014-08-01,1.3997
2014-08-04,-2.1471999999999998
2014-08-05,-0.7837
2014-08-06,-0.158
2014-08-07,0.5538
2014-08-08,1.8883
2014-08-11,2.9344
2014-08-12,10.2026
2014-08-13,-1.9741
2014-08-14,-0.625
2014-08-15,-2.0266
2014-08-18,2.2111
2014-08-19,1.6747999999999998
2014-08-20,2.7454
2014-08-21,5.5443999999999996
2014-08-22,-2.5949
2014-08-25,3.3138
2014-08-26,0.9434
2014-08-27,3.4268
2014-08-28,-0.7229
2014-08-29,-0.0607
2014-09-02,-4.6145
2014-09-03,2.4825
2014-09-04,-1.1801
2014-09-05,0.0629
2014-09-08,-1.3191
2014-09-09,2.3552
2014-09-10,0.1244
2014-09-11,1.9255
2014-09-12,-0.2438
2014-09-15,-0.7941
2014-09-16,-2.8325
2014-09-17,1.5843
2014-09-18,-1.8091
2014-09-19,-7.3698
2014-09-22,-4.1838
2014-09-23,2.219
2014-09-24,9.1737
2014-09-25,-4.1693
2014-09-26,0.2677
2014-09-29,-1.4019
2014-09-30,1.3541
2014-10-01,-6.68
2014-10-02,0.859
2014-10-03,6.2456
2014-10-06,-2.9392
2014-10-07,-3.5788
2014-10-08,3.3547000000000002
2014-10-09,-1.3812
2014-10-10,-0.1401
2014-10-13,1.8934
2014-10-14,-4.8864
2014-10-15,1.2301
2014-10-16,2.8592
2014-10-17,-5.6984
2014-10-20,5.3795
2014-10-21,-3.0769
2014-10-22,-1.7316
2014-10-23,-1.1013
2014-10-24,-0.2227
2014-10-27,1.4881
2014-10-28,5.0587
2014-10-29,3.9777
2014-10-30,1.2752
2014-10-31,1.1928
2014-11-03,0.7859
2014-11-04,-1.2346
2014-11-05,-1.4474
2014-11-06,3.5381
2014-11-07,0.1289
2014-11-10,0.2576
2014-11-11,1.5413999999999999
2014-11-12,1.2018
2014-11-13,4.375
2014-11-14,1.0778
2014-11-17,0.4147
2014-11-18,-0.295
2014-11-19,-5.9763
2014-11-20,-2.9577999999999998
2014-11-21,0.7782
2014-11-24,8.1081
2014-11-25,8.2738
2014-11-26,-3.4085
2014-11-28,-3.6995
2014-12-01,0.8274
2014-12-02,0.9965
2014-12-03,2.5537
2014-12-04,-3.7351
2014-12-05,8.348
2014-12-08,2.713
2014-12-09,-4.7015
2014-12-10,1.6075
2014-12-11,1.2002
