ticker,HOTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-22,2000.0
2006-08-23,14.2857
2006-09-11,375.0
2006-09-19,-40.0
2006-09-22,-16.6667
2006-09-25,120.0
2006-09-26,9.0909
2006-09-27,-29.1667
2006-10-02,5.8824
2006-10-04,5.5556
2006-10-10,10.526299999999999
2006-10-11,19.0476
2006-10-12,0.0
2006-10-13,-4.0
2006-10-16,-4.1667
2006-10-17,-3.4783
2006-10-19,5.4054
2006-10-20,6.8376
2006-10-23,4.0
2006-10-24,-1.5385
2006-10-25,0.7813
2006-10-26,5.814
2006-10-27,-15.7509
2006-10-30,3.4783
2006-10-31,4.2017
2006-11-01,0.8065
2006-11-02,-16.0
2006-11-03,2.8571
2006-11-06,11.1111
2006-11-07,-8.3333
2006-11-08,-7.2727
2006-11-09,-1.9607999999999999
2006-11-10,-5.0
2006-11-13,-11.5789
2006-11-14,-4.7619
2006-11-15,-5.0
2006-11-16,-1.3158
2006-11-17,4.0
2006-11-20,-3.8462
2006-11-21,16.0
2006-11-22,0.0
2006-11-27,-8.046
2006-11-28,0.0
2006-11-29,3.75
2006-11-30,-12.0482
2006-12-01,4.1096
2006-12-04,-5.2632
2006-12-05,-2.7778
2006-12-06,-2.8571
2006-12-07,1.4706000000000001
2006-12-08,15.942
2006-12-11,-6.25
2006-12-12,4.0
2006-12-13,-7.6923
2006-12-14,-22.2222
2006-12-15,12.5
2006-12-18,-20.634900000000002
2006-12-19,-16.0
2006-12-20,7.1429
2006-12-21,0.0
2006-12-22,-15.5556
2006-12-28,34.2105
2006-12-29,3.9215999999999998
2007-01-03,1.8868
2007-01-04,0.0
2007-01-05,-7.4074
2007-01-08,10.0
2007-01-09,0.0
2007-01-10,21.8182
2007-01-11,-23.8806
2007-01-12,19.6078
2007-01-16,-1.6393
2007-01-17,-15.0
2007-01-22,17.647100000000002
2007-01-29,-3.3333
2007-01-31,1.7241
2007-02-01,13.5593
2007-02-02,4.4776
2007-02-05,0.0
2007-02-06,7.1429
2007-02-08,4.0
2007-02-12,-3.8462
2007-02-13,20.0
2007-02-14,-11.1111
2007-02-21,-6.25
2007-02-22,4.0
2007-02-23,-10.2564
2007-02-26,0.0
2007-03-01,-10.0
2007-03-02,-3.1746
2007-03-05,39.3443
2007-03-06,-17.647100000000002
2007-03-07,-1.4285999999999999
2007-03-08,-5.7971
2007-03-12,6.1538
2007-03-13,-13.0435
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,18.3333
2007-03-20,-15.493
