ticker,ENCB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-03,17.647100000000002
2010-06-14,-58.3333
2010-06-15,140.0
2010-06-21,-58.3333
2010-06-22,140.0
2010-07-22,-15.0
2010-08-31,-7.8431
2010-09-27,8.5106
2010-09-28,0.0
2010-12-01,25.4902
2011-01-18,-53.125
2011-01-19,70.0
2011-01-20,0.0
2011-01-28,-80.3922
2011-01-31,200.0
2011-02-01,-66.6667
2011-02-02,-35.0
2011-02-04,0.0
2011-02-07,-23.0769
2011-02-10,38.0
2011-02-11,-56.5217
2011-02-28,0.0
2011-03-01,50.0
2011-03-02,11.1111
2011-03-09,39.75
2011-03-15,-28.4436
2011-03-21,40.0
2011-03-29,-28.5714
2011-05-05,0.0
2011-06-16,-40.0
2011-06-23,33.3333
2011-07-01,0.0
2011-07-28,-25.0
2011-08-02,-33.3333
2011-08-11,0.0
2011-09-07,-60.0
2011-09-19,0.0
2011-09-26,-12.5
2012-02-01,42.8571
2012-02-09,0.0
2012-02-17,0.0
2012-03-13,0.0
2012-04-03,100.0
2012-04-12,50.0
2012-04-26,-3.3333
2012-05-01,-3.4483
2012-05-15,-28.5714
2012-06-11,0.0
2012-06-29,50.0
2012-07-16,0.0
2012-07-30,-66.6667
2012-08-07,100.0
2012-08-08,200.0
2012-09-20,-66.6667
2012-10-08,-15.0
2012-10-24,-35.2941
2012-11-14,-72.7273
2012-11-19,0.0
2012-12-27,0.0
2013-04-02,233.3333
2013-05-06,101.25
2013-05-08,49.0683
2013-05-09,-30.0
2013-05-16,-28.5714
2013-05-17,0.0
2013-05-20,-6.6667
2013-06-10,-28.5714
2013-06-25,0.0
2013-07-03,-20.0
2013-09-06,0.0
2013-09-09,0.0
2014-03-05,200.0
2014-03-26,-37.5
2014-03-28,60.0
2014-04-01,4.1667
2014-05-07,-40.0
2014-05-23,133.3333
2014-06-11,-57.1429
2014-06-26,166.6667
2014-06-30,-12.5
2014-07-03,0.0
2014-07-07,-14.2857
2014-07-08,6.6667
2014-07-10,-6.25
2014-07-11,0.0
2014-07-14,0.0
2014-07-17,-33.3333
2014-09-19,50.0
2014-09-24,-66.6667
2014-10-21,0.0
2014-11-05,-20.0
2014-11-06,6.25
2014-11-17,76.4706
2014-12-29,-26.6667
2014-12-30,-18.1818
2014-12-31,233.3333
2015-01-02,-16.6667
2015-01-05,60.0
2015-01-06,24.6875
2015-01-07,0.2506
2015-01-08,20.0
2015-01-09,25.0
2015-01-12,20.0
2015-01-13,-40.0
