ticker,NPTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-22,-85.0746
2005-04-19,600.0
2005-09-07,-78.5714
2006-02-02,260.0
2006-02-07,29.6296
2006-02-08,7.1429
2006-03-24,9066.6667
2006-03-27,15.2
2006-03-28,7.6389
2006-03-29,9.0323
2006-03-30,14.2012
2006-03-31,21.7552
2006-04-03,3.4098
2006-04-04,-30.0412
2006-04-05,-35.2941
2006-04-06,22.7273
2006-04-07,6.6667
2006-04-10,-18.75
2006-04-11,-1.7094
2006-04-12,-8.6957
2006-04-13,-42.8571
2006-04-17,14.9792
2006-04-18,-10.1286
2006-04-19,4.8387
2006-04-20,-10.7692
2006-04-21,17.2414
2006-04-24,0.0
2006-04-25,-4.4118
2006-04-26,-4.6154
2006-04-27,-3.2258
2006-04-28,-3.3333
2006-05-01,-5.1509
2006-05-02,-0.0227
2006-05-03,18.1591
2006-05-04,0.0192
2006-05-05,-7.6923
2006-05-08,-8.3333
2006-05-09,0.0
2006-05-10,0.0
2006-05-11,0.0
2006-05-12,0.0
2006-05-15,0.0
2006-05-16,9.0909
2006-05-17,0.0
2006-05-18,0.0
2006-05-19,-8.3333
2006-05-22,9.0909
2006-05-23,-6.6667
2006-05-24,-10.7143
2006-05-25,-10.0
2006-05-26,-15.5556
2006-05-30,5.2632
2006-05-31,57.5
2006-06-01,-4.7619
2006-06-02,-25.0
2006-06-05,-15.5556
2006-06-06,5.2632
2006-06-07,0.0
2006-06-08,-5.0
2006-06-09,-7.8947
2006-06-12,14.2857
2006-06-14,-37.5
2006-06-16,-20.0
2006-06-19,99.9375
2006-06-20,-47.4836
2006-06-23,95.2381
2006-06-26,-14.6341
2006-06-27,-40.0
2006-06-28,19.0476
2006-06-29,40.0
2006-06-30,0.0
2006-07-03,-8.5714
2006-07-05,9.375
2006-07-06,-8.5714
2006-07-07,0.0
2006-07-11,-21.875
2006-07-12,0.0
2006-07-13,0.0
2006-07-14,0.0
2006-07-17,0.0
2006-07-18,0.0
2006-07-19,40.0
2006-07-20,-28.5714
2006-07-24,0.0
2006-07-25,0.0
2006-07-26,32.0
2006-07-27,-24.2424
2006-07-28,4.0
2006-07-31,-7.6923
2006-08-01,37.5
2006-08-03,-27.2727
2006-08-04,0.0
2006-08-07,37.5
2006-08-08,-27.2727
2006-08-09,4.1667
2006-08-10,0.0
2006-08-11,4.0
2006-08-14,-3.8462
2006-08-15,4.0
2006-08-16,0.0
2006-08-17,-7.6923
2006-08-18,-12.5
2006-08-21,23.8095
