ticker,GWPD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-21,-33.3333
2010-10-05,40.0
2011-04-01,78.5714
2011-11-16,-20.0
2011-12-07,-60.0
2012-03-08,-37.5
2012-04-17,0.0
2012-08-29,-20.0
2013-01-28,-25.0
2013-04-01,-66.6667
2013-04-17,0.0
2014-11-26,900.0
2014-12-02,0.0
2014-12-03,0.0
2015-01-13,-70.0
2015-01-22,0.0
2015-05-07,-26.6667
2015-11-16,0.0
2016-02-24,13.6364
2016-04-19,179.5
2016-04-29,-51.3417
2016-05-31,47.0588
2016-07-28,0.0
2017-02-24,-0.25
2017-11-06,-59.8997
2018-07-19,150.0
2018-08-02,100.0
2018-08-24,0.0
2018-08-29,45.0
2018-08-31,10.3448
2018-09-26,-0.625
2018-09-28,22.6415
2018-11-01,-48.7179
2019-02-07,-25.0
2019-03-12,-86.6667
2019-03-13,-0.5
2019-03-14,0.5025
2019-03-15,12.5
2019-03-19,-11.1111
2019-03-20,0.0
2019-03-21,-1.875
2019-03-22,1.9108
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,0.0
2019-04-01,10.0
2019-04-02,0.0
2019-04-03,-9.0909
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,-0.5
2019-04-12,-4.5226
2019-04-15,2.6316
2019-04-17,-7.6923
2019-04-18,0.0
2019-04-22,0.0
2019-04-23,-19.4444
2019-04-24,3.4483
2019-04-25,0.0
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,-2.8
2019-05-01,2.8807
2019-05-02,0.0
2019-05-03,0.0
2019-05-06,-2.8
2019-05-07,2.8807
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-28,-16.6667
2019-05-29,20.0
2019-05-30,-16.6667
2019-05-31,-4.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,14.1667
2019-06-13,2.9196999999999997
2019-06-14,4.6099
2019-06-18,1.6949
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,6.6667
2019-06-24,0.0
2019-06-25,3.125
2019-06-26,-1.3636
