ticker,CTNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3058
2000-01-05,0.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-06,0.0
2000-03-13,0.0
2000-03-16,15.3846
2000-03-24,-11.8519
2000-03-30,-0.8403
2000-04-12,0.0
2000-04-13,0.0
2000-05-01,3.4483
2000-05-18,-3.3333
2000-06-02,13.7931
2000-07-11,-12.1212
2000-07-12,0.0
2000-07-21,0.0
2000-07-24,1.7241
2000-07-26,-7.6271
2000-08-01,0.9174
2000-08-02,0.0
2000-08-08,7.2727
2000-08-11,0.8475
2000-08-14,-5.8824
2000-08-16,6.25
2000-08-23,4.2017
2000-08-28,-8.0645
2000-08-29,-1.7544
2000-09-26,0.0
2000-10-06,0.0
2000-10-11,2.2321
2000-10-13,0.0
2000-10-25,-1.31
2000-11-01,0.0
2000-11-14,11.1111
2000-11-15,0.0
2000-12-14,6.6667
2001-01-30,3.125
2001-02-05,6.0606
2001-02-15,27.1429
2001-03-19,-27.2727
2001-04-18,9.375
2001-04-24,-1.0
2001-05-04,-1.8759000000000001
2001-05-10,-4.4776
2001-05-15,-1.5625
2001-05-18,-2.8571
2001-06-06,2.2876
2001-07-16,5.4313
2001-10-11,7.6923
2001-10-19,2.8571
2001-11-07,-3.2168
2001-12-20,-2.8902
2002-01-10,0.0
2002-01-25,0.0
2002-02-04,2.3810000000000002
2002-03-08,-1.6959
2002-03-18,0.5354
2002-03-27,0.0
2002-04-03,-0.7692
2002-04-12,-0.1193
2002-04-23,-4.4776
2002-05-10,3.4375
2002-05-13,0.0
2002-05-20,-1.8237
2002-05-28,2.1672
2002-05-29,-1.5152
2002-06-05,4.6154
2002-06-10,-2.6471
2002-07-08,-3.3233
2002-07-18,1.5625
2002-07-24,-3.3846
2002-07-26,-1.2739
2002-08-02,-2.5806
2002-08-08,2.649
2002-08-30,-2.5974
2002-09-06,0.0
2002-09-24,0.0
2002-09-26,-2.6667
2002-09-30,-0.6849
2002-10-01,-5.1724
2002-10-14,-4.0
2002-10-24,7.9545
2002-12-02,-0.1767
2002-12-18,-0.1062
2003-01-23,-7.0163
2003-01-24,4.8018
2003-03-12,1.8315000000000001
2003-03-19,-4.3165
2003-04-07,-2.6316
2003-04-17,-0.6178
2003-04-28,2.5641
2003-06-19,0.0
2003-06-20,0.0
2003-07-18,-2.6718
2003-07-22,5.8824
2003-07-31,-0.7407
2003-09-08,-0.7519
2003-09-24,-0.7576
2003-09-30,3.0534
2003-10-01,0.0
