ticker,HMPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-03,100.0
2015-03-05,0.0
2015-03-16,-31.8182
2015-03-18,-60.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-25,0.0
2015-03-27,-66.6667
2015-04-07,150.0
2015-04-08,0.0
2015-04-15,20.0
2015-04-16,0.0
2015-04-20,-33.3333
2015-04-21,25.0
2015-04-22,16.0
2015-04-23,-3.8362
2015-04-24,-0.3586
2015-04-29,7.9622
2015-04-30,-20.0
2015-05-04,8.2813
2015-05-05,-7.6479
2015-05-06,-33.3333
2015-05-07,25.0
2015-05-08,-11.0
2015-05-11,1.1236
2015-05-12,22.2222
2015-05-14,0.0
2015-05-15,-9.0909
2015-05-19,-5.0625
2015-05-20,-0.4608
2015-05-21,5.8201
2015-05-22,-20.0
2015-05-27,18.6719
2015-05-28,0.0
2015-05-29,-10.4674
2015-06-01,29.3382
2015-06-02,-18.1353
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-08,-38.8889
2015-06-09,13.6364
2015-06-10,12.0
2015-06-11,-13.5714
2015-06-12,1.188
2015-06-15,38.8464
2015-06-16,5.8824
2015-06-17,11.1111
2015-06-18,50.0
2015-06-19,-17.875
2015-06-22,-39.1172
2015-06-24,0.0
2015-06-26,-13.3333
2015-06-29,0.0
2015-07-01,7.3077
2015-07-02,28.9427
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,-5.5594
2015-07-09,0.0
2015-07-10,-5.8867
2015-07-13,-37.4511
2015-07-15,26.375
2015-07-16,26.6073
2015-07-17,-37.5
2015-07-20,-20.0
2015-07-21,75.0
2015-07-22,-26.4286
2015-07-23,26.2136
2015-07-24,-38.4615
2015-07-27,84.8438
2015-07-28,1.3525
2015-07-31,-20.0167
2015-08-04,-33.2638
2015-08-05,25.0
2015-08-06,10.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,-18.1818
2015-08-12,22.2222
2015-08-13,-0.1136
2015-08-14,-0.0569
2015-08-18,-0.8537
2015-08-19,-8.2664
2015-08-20,0.0
2015-08-21,-9.8874
2015-08-24,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-08,-0.1389
2015-09-09,-10.9875
2015-09-10,0.0
2015-09-11,-48.75
2015-09-14,-14.6341
2015-09-15,54.2857
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,-35.1852
2015-09-21,13.9286
2015-09-22,0.3135
2015-09-23,-0.3125
