ticker,CBOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-03,-2.5
2006-05-10,5.4487
2006-06-13,3.3435
2007-02-09,77.0588
2007-02-12,1.3289
2007-03-02,4.918
2007-03-07,2.3438
2007-05-11,0.916
2007-05-14,2.8744
2007-05-15,0.0
2007-05-16,0.0
2007-06-04,2.9412000000000003
2007-07-18,1.4314
2007-07-19,0.0
2007-07-20,1.4056
2007-07-23,0.0
2007-08-10,-1.1083
2007-09-12,-0.0028
2007-09-17,1.4045
2007-09-21,0.0
2007-10-18,1.108
2007-10-22,-3.4247
2007-12-13,-1.4184
2008-01-08,-12.2302
2008-01-09,0.0
2008-01-10,0.0
2008-01-15,-1.3115
2008-01-18,-0.3322
2008-01-25,-1.3333
2008-01-31,4.7297
2008-02-05,3.2258
2008-02-19,-4.5313
2008-03-07,-1.8003
2008-03-31,3.3333
2008-04-02,6.4516
2008-04-03,-5.0
2008-04-11,0.4785
2008-04-14,0.0
2008-04-17,6.3492
2008-05-20,0.0
2008-06-20,-0.7463
2008-06-26,-3.0075
2008-07-03,-2.3256
2008-07-25,-23.8095
2008-07-28,8.3333
2008-08-28,3.8462
2008-09-16,0.0
2008-09-17,0.0
2008-09-30,-11.1111
2008-10-03,0.0
2008-10-10,-8.3333
2008-11-06,36.3636
2008-11-24,-16.6667
2009-02-25,-20.0
2009-02-27,0.0
2009-03-23,-10.0
2009-04-02,2.7778
2009-10-06,2.7027
2009-11-11,-7.8947
2010-02-25,0.0
2010-06-16,-11.4286
2010-07-13,0.0
2010-08-06,29.0323
2010-08-30,0.0
2010-12-17,-2.5
2011-01-13,-23.0769
2011-01-14,3.3333
2011-01-24,25.8065
2011-02-04,-22.5641
2011-02-16,3.3775
2011-03-11,2.4984
2011-04-11,-3.125
2011-04-25,16.129
2011-06-29,-13.8889
2011-06-30,-6.4516
2011-07-01,17.2414
2011-07-05,5.8824
2011-08-08,-16.6667
2011-08-10,-20.0
2011-08-16,12.5
2011-08-31,25.9259
2011-09-09,-38.2353
2011-12-08,-3.8095
2011-12-27,3.9604
2012-03-20,-3.8095
2012-03-22,1.4851
2012-03-27,2.439
2012-04-24,23.7143
2012-07-11,-15.3195
2012-07-30,0.0
2012-08-16,0.0
2012-09-19,-6.8182
2012-09-26,-2.9268
2012-09-27,3.5176
2012-10-01,-4.8544
2012-10-24,-3.0612
2012-11-09,-1.0526
2012-11-19,-4.2553
2012-11-29,-17.7778
2012-12-12,-0.2703
2012-12-13,-1.084
