ticker,TRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-23,0.0
2012-04-30,-13.0435
2012-05-04,0.0
2012-05-07,15.0
2012-05-11,-8.6957
2012-05-21,0.0
2012-05-29,-28.5714
2012-07-02,0.0
2012-07-18,33.3333
2012-07-19,0.0
2012-07-25,-1.0
2012-07-26,2.0202
2012-07-27,-0.9901
2012-08-09,0.0
2012-08-15,-45.0
2012-08-16,-18.1818
2012-08-17,0.0
2012-08-20,11.1111
2012-08-21,12.0
2012-08-22,3.5714
2012-08-23,-6.8966
2012-08-24,-16.6667
2012-08-27,-8.8889
2012-08-28,-24.3902
2012-08-29,9.6774
2012-08-30,-8.8235
2012-08-31,29.0323
2012-09-04,-17.5
2012-09-05,0.6061
2012-09-06,0.0
2012-09-10,0.0
2012-09-11,8.7349
2012-09-12,3.8781
2012-09-13,4.0
2012-09-14,-12.5641
2012-09-17,8.5044
2012-09-18,2.7027
2012-09-19,-2.6316
2012-09-20,-4.0541
2012-09-21,12.6761
2012-09-24,-10.0
2012-09-26,11.1111
2012-09-27,0.0
2012-09-28,-13.75
2012-10-01,13.0435
2012-10-02,-28.2051
2012-10-03,-25.0
2012-10-04,0.0
2012-10-05,11.9048
2012-10-08,8.5106
2012-10-09,-10.9804
2012-10-10,40.9692
2012-10-11,-28.125
2012-10-12,4.7826
2012-10-15,0.0
2012-10-16,-0.4149
2012-10-17,16.6667
2012-10-18,-7.1429
2012-10-19,-5.7692
2012-10-22,26.5306
2012-10-23,-3.5484
2012-10-24,-29.2642
2012-10-25,0.0591
2012-10-26,9.1553
2012-10-31,-6.9264
2012-11-01,6.9767
2012-11-02,-13.0435
2012-11-05,25.0
2012-11-06,0.0
2012-11-07,0.0
2012-11-08,16.0
2012-11-09,-13.7931
2012-11-12,16.0
2012-11-13,20.6897
2012-11-14,8.5714
2012-11-15,10.526299999999999
2012-11-16,1.1905000000000001
2012-11-19,3.5294
2012-11-20,-6.8182
2012-11-21,2.439
2012-11-23,-3.5714
2012-11-26,3.7037
2012-11-27,2.3810000000000002
2012-11-28,4.6512
2012-11-29,4.4167
2012-11-30,0.0
2012-12-03,-4.2298
2012-12-04,2.2222
2012-12-05,-2.1739
2012-12-06,-2.2222
2012-12-07,0.0
2012-12-10,-2.2727
2012-12-11,-2.3256
2012-12-12,1.1905000000000001
2012-12-13,1.1764999999999999
2012-12-14,-2.3256
2012-12-17,0.2381
2012-12-18,-0.2375
2012-12-19,5.9524
2012-12-20,1.1236
2012-12-21,0.0
