ticker,PDSB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-01,17.6364
2015-10-02,35.085
2015-10-05,6.0069
2015-10-06,-2.8602
2015-10-07,-1.1667
2015-10-08,-0.9556
2015-10-09,-0.1135
2015-10-12,5.9658999999999995
2015-10-13,18.7131
2015-10-14,-4.0199
2015-10-15,1.4118
2015-10-16,1.6240999999999999
2015-10-19,2.4201
2015-10-20,4.7258
2015-10-21,-4.7254000000000005
2015-10-22,-1.966
2015-10-23,-6.2899
2015-10-26,-1.3132
2015-10-27,0.0246
2015-10-28,2.8825
2015-10-29,-0.6226
2015-10-30,-13.8313
2015-11-02,-7.774
2015-11-03,15.1607
2015-11-04,-2.6856
2015-11-05,-8.4957
2015-11-06,-0.414
2015-11-09,0.9501
2015-11-10,-2.0588
2015-11-11,-1.3213
2015-11-12,-4.017
2015-11-13,-4.5022
2015-11-16,-0.9296
2015-11-17,-0.067
2015-11-18,-3.6217
2015-11-19,-1.3918
2015-11-20,-2.7523
2015-11-23,1.5239
2015-11-24,-3.5025
2015-11-25,0.0
2015-11-27,2.8889
2015-11-30,-0.072
2015-12-01,1.1527
2015-12-02,-3.1339
2015-12-03,-0.9559
2015-12-04,-3.4892
2015-12-07,-2.6923
2015-12-08,1.9763
2015-12-09,10.8527
2015-12-10,-5.1049
2015-12-11,-1.6212
2015-12-14,-8.015
2015-12-15,2.6059
2015-12-16,-0.873
2015-12-17,0.5604
2015-12-18,0.0
2015-12-21,-3.9809
2015-12-22,6.136
2015-12-23,3.5156
2015-12-24,-1.8113000000000001
2015-12-28,1.6141
2015-12-29,-2.7231
2015-12-30,-1.633
2015-12-31,-1.1858
2016-01-04,-0.8
2016-01-05,8.3065
2016-01-06,2.4572
2016-01-07,-8.3576
2016-01-08,1.9033
2016-01-11,-5.4475
2016-01-12,2.3868
2016-01-13,-4.9035
2016-01-14,-3.4657999999999998
2016-01-15,-4.5534
2016-01-19,-5.7798
2016-01-20,-1.5579
2016-01-21,-4.6489
2016-01-22,1.6598000000000002
2016-01-25,-2.3468999999999998
2016-01-26,10.7628
2016-01-27,-2.3585
2016-01-28,-3.3816
2016-01-29,11.1
2016-02-01,-10.6211
2016-02-02,-1.6113
2016-02-03,-1.0235
2016-02-04,3.9297
2016-02-05,-9.7512
2016-02-08,-19.4046
2016-02-09,-6.9767
2016-02-10,8.6765
2016-02-11,-9.8782
2016-02-12,3.6036
2016-02-16,1.3043
2016-02-17,-4.2918
2016-02-18,2.6906
2016-02-19,-3.7846
