ticker,METC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-03,0.3704
2017-02-06,-4.059
2017-02-07,-1.5385
2017-02-08,-5.0781
2017-02-09,-2.1399
2017-02-10,0.0
2017-02-13,2.1867
2017-02-14,-8.2305
2017-02-15,1.3453
2017-02-16,-1.7699
2017-02-17,-1.4414
2017-02-21,2.3766
2017-02-22,-1.875
2017-02-23,0.273
2017-02-24,-0.9074
2017-02-27,-0.2747
2017-02-28,0.0918
2017-03-01,9.2661
2017-03-02,4.8699
2017-03-03,4.0833
2017-03-06,-1.2308
2017-03-07,-3.972
2017-03-08,-13.8686
2017-03-09,0.7533
2017-03-10,-1.9626000000000001
2017-03-13,1.0486
2017-03-14,-0.1887
2017-03-15,0.0945
2017-03-16,-3.2106
2017-03-17,-4.5854
2017-03-20,-7.6687
2017-03-21,2.5471
2017-03-22,-4.8596
2017-03-23,0.5675
2017-03-24,-1.2415
2017-03-27,1.0286
2017-03-28,13.1222
2017-03-29,2.7
2017-03-30,2.1422
2017-03-31,-7.817
2017-04-03,-1.5512000000000001
2017-04-04,-2.9412000000000003
2017-04-05,1.5152
2017-04-06,0.4264
2017-04-07,0.2123
2017-04-10,-5.6144
2017-04-11,1.0101
2017-04-12,-4.3333
2017-04-13,-3.0197
2017-04-17,-7.4251
2017-04-18,-2.7167
2017-04-19,-4.9202
2017-04-20,1.2587
2017-04-21,-0.1381
2017-04-24,4.9793
2017-04-25,1.1858
2017-04-26,1.6926999999999999
2017-04-27,0.5122
2017-04-28,-1.1465
2017-05-01,-4.6392
2017-05-02,0.4054
2017-05-03,-3.7685
2017-05-04,-9.7902
2017-05-05,-5.1163
2017-05-08,-0.6536
2017-05-09,-2.3026
2017-05-10,-1.1785
2017-05-11,4.0886
2017-05-12,3.437
2017-05-15,1.5823
2017-05-16,-8.0218
2017-05-17,7.536
2017-05-18,-0.6299
2017-05-19,3.3281
2017-05-22,8.589
2017-05-23,4.661
2017-05-24,-7.1525
2017-05-25,-3.1977
2017-05-26,-1.3514
2017-05-30,-1.8265
2017-05-31,-2.6357
2017-06-01,-2.2293
2017-06-02,-4.0717
2017-06-05,-5.2632
2017-06-06,4.8387
2017-06-07,-1.5385
2017-06-08,-4.8611
2017-06-09,-1.4599
2017-06-12,-1.6667
2017-06-13,0.3766
2017-06-14,-1.6886
2017-06-15,-1.9083999999999999
2017-06-16,-0.3891
2017-06-19,1.5625
2017-06-20,-0.1923
2017-06-21,0.578
2017-06-22,7.2797
2017-06-23,-2.3214
