ticker,EMIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.4553
2000-01-04,-5.123
2000-01-05,-6.2635
2000-01-06,5.53
2000-01-07,4.8035
2000-01-10,2.5
2000-01-11,4.065
2000-01-12,-4.2969
2000-01-13,7.7551
2000-01-14,7.5758
2000-01-18,12.6761
2000-01-19,-3.5938
2000-01-20,-8.752
2000-01-21,10.8348
2000-01-24,-1.7628
2000-01-25,0.1631
2000-01-26,-0.3257
2000-01-27,4.5752
2000-01-28,-0.9375
2000-01-31,-4.4164
2000-02-01,3.3003
2000-02-02,0.0
2000-02-03,-1.4377
2000-02-04,1.7828
2000-02-07,10.1911
2000-02-08,15.1734
2000-02-09,-0.6274
2000-02-10,8.2071
2000-02-11,3.5006
2000-02-14,9.1319
2000-02-15,-4.9587
2000-02-16,0.2174
2000-02-17,16.4859
2000-02-18,-2.4209
2000-02-22,-5.1527
2000-02-23,3.4205
2000-02-24,0.3891
2000-02-25,-4.0698
2000-02-28,-8.9899
2000-02-29,-0.444
2000-03-01,0.7804
2000-03-02,18.5841
2000-03-03,8.9552
2000-03-06,9.9315
2000-03-07,-2.0249
2000-03-08,-2.0668
2000-03-09,1.9481000000000002
2000-03-10,0.9554
2000-03-13,-7.8864
2000-03-14,-10.274000000000001
2000-03-15,-1.5267
2000-03-16,-4.3605
2000-03-17,-6.5856
2000-03-20,-20.0651
2000-03-21,10.1764
2000-03-22,6.5271
2000-03-23,-3.3526
2000-03-24,-14.3541
2000-03-27,-9.2179
2000-03-28,-1.3846
2000-03-29,-3.9002
2000-03-30,5.1948
2000-03-31,28.0864
2000-04-03,-9.0361
2000-04-04,-16.5563
2000-04-05,2.5397
2000-04-06,-0.3096
2000-04-07,8.6957
2000-04-10,-2.2857
2000-04-11,-4.9708
2000-04-12,-6.4231
2000-04-13,-10.8919
2000-04-14,-23.2472
2000-04-17,-2.1635
2000-04-18,5.8968
2000-04-19,7.1926
2000-04-20,19.2641
2000-04-24,6.3521
2000-04-25,8.8737
2000-04-26,0.627
2000-04-27,-1.2461
2000-04-28,3.5883000000000003
2000-05-01,22.2687
2000-05-02,-4.2341
2000-05-03,-3.251
2000-05-04,2.957
2000-05-05,3.3943
2000-05-08,-6.5657
2000-05-09,-4.8649000000000004
2000-05-10,-3.6932
2000-05-11,-2.0649
2000-05-12,0.0
2000-05-15,10.5422
2000-05-16,0.8174
2000-05-17,-2.7027
2000-05-18,-2.7778
2000-05-19,-5.1429
2000-05-22,-4.8193
