ticker,CSKD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-15,0.0
2008-12-17,-11.3924
2008-12-18,0.0
2008-12-23,0.0
2009-02-12,-50.0
2009-02-20,-71.4286
2009-02-23,100.0
2009-02-25,0.0
2009-03-09,0.0
2009-10-06,100.0
2009-10-09,0.0
2009-10-12,12.5
2009-10-14,2.2222
2009-10-15,3.4783
2009-10-23,-1.2605
2009-11-11,-36.1702
2009-11-13,0.0
2009-11-16,16.6667
2009-11-17,0.0
2009-11-19,-22.8571
2009-12-10,-53.3333
2010-01-08,217.4603
2010-03-31,-48.0
2010-04-05,-13.461500000000001
2010-04-30,-11.1111
2010-06-28,6.25
2010-06-29,135.2941
2010-09-13,-52.5
2010-09-17,0.0
2010-09-27,0.0
2010-12-01,-73.6842
2010-12-02,304.0
2010-12-09,-5.9406
2010-12-14,6.3158
2011-01-26,8.9109
2011-06-23,-86.3636
2011-06-24,240.0
2011-11-21,0.0
2011-12-12,-70.5882
2012-05-23,-32.6667
2012-09-25,9.0347
2013-01-31,-0.1135
2013-02-01,0.0
2013-02-15,0.0
2013-04-29,0.0
2017-04-11,718.1818
2018-08-29,-94.4444
2018-09-21,10.0
2018-09-26,81.8182
2018-09-27,-5.0
2018-10-19,110.5263
2018-10-23,0.0
2018-10-26,0.0
2018-11-30,0.0
2019-01-10,-30.0
2019-01-17,42.8571
2019-02-11,-27.5
2019-02-25,3.4483
2019-02-26,-3.3333
2019-03-14,-31.0345
2019-03-20,-9.5
2019-04-25,65.7459
2019-05-01,0.0
2019-07-23,-66.6667
2019-10-04,99.8
2019-10-08,-7.4074
2019-10-14,8.1081
2019-11-04,0.0
2019-11-05,50.0
2019-12-04,-33.3333
2020-01-09,200.0
2020-01-10,-0.0333
2020-01-13,-79.9933
2020-01-15,337.5
2020-01-16,14.2476
2020-01-21,0.0
2020-02-03,-58.3194
2020-02-07,2.0
2020-02-25,56.8627
2020-04-20,-75.0
2020-06-18,-18.0
