ticker,CPHB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-02,8.9109
2010-07-08,4.5455
2010-07-09,4.3478
2010-07-12,4.1667
2010-07-14,5.6
2010-07-27,-23.4848
2010-07-28,13.8614
2010-08-03,334.7826
2010-08-04,0.0
2011-01-25,-0.6
2012-01-09,-54.7284
2014-09-04,-73.3333
2014-09-08,66.6667
2015-03-19,0.0
2016-02-23,-70.0
2016-02-24,-33.3333
2016-02-25,-25.0
2016-02-26,-23.3333
2016-02-29,-30.4348
2016-09-01,-4.6094
2018-05-17,96.5602
2018-05-21,0.0
2018-05-23,33.3333
2018-05-31,0.0
2018-08-28,-90.0
2018-09-18,-99.5
2019-04-15,199900.0
2019-04-16,-14.25
2019-04-17,16.6181
2019-04-18,-25.0
2019-04-24,333.3333
2019-04-25,-89.2308
2019-04-30,42.8571
2019-05-06,103.5
2019-05-07,8.1081
2019-05-10,-9.0909
2019-05-13,-45.0
2019-05-14,63.6364
2019-05-17,11.1111
2019-06-03,-55.0
2019-06-14,100.0
2019-06-25,-63.8889
2019-07-31,20.0
2019-08-07,-3.8462
2019-09-05,0.0
2019-09-06,-16.6667
2019-09-09,0.0
2019-09-10,0.0
2019-09-16,0.0
2019-09-19,0.0
2019-10-03,4.0
2019-10-04,-11.538499999999999
2019-10-07,-13.0435
2019-10-22,0.0
2019-11-01,29.0
2019-11-05,-6.9767
2019-11-06,-33.3333
2019-11-15,0.0
2020-02-06,-37.5
2020-02-12,0.0
2020-02-21,139.6
2020-02-27,-0.1669
2020-03-03,0.1672
