ticker,SURF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-19,-11.1333
2018-04-20,3.6009
2018-04-23,-6.7343
2018-04-24,0.5435
2018-04-25,2.9344
2018-04-26,3.6009
2018-04-27,3.4757
2018-04-30,0.4199
2018-05-01,1.9512
2018-05-02,2.9392
2018-05-03,-3.1873
2018-05-04,-4.7325
2018-05-07,3.3837
2018-05-08,2.9943999999999997
2018-05-09,-2.5693
2018-05-10,-2.984
2018-05-11,0.5007
2018-05-14,-4.6975
2018-05-15,0.0
2018-05-16,3.3607
2018-05-17,1.0838
2018-05-18,2.1444
2018-05-21,4.9685
2018-05-22,-0.3333
2018-05-23,0.7358
2018-05-24,-0.664
2018-05-25,-0.9358
2018-05-29,-6.0054
2018-05-30,-0.7897
2018-05-31,-0.5789
2018-06-01,-1.3828
2018-06-04,1.9188
2018-06-05,-6.8067
2018-06-06,-0.3108
2018-06-07,4.6765
2018-06-08,8.0417
2018-06-11,-1.654
2018-06-12,-2.2425
2018-06-13,0.4301
2018-06-14,1.8558
2018-06-15,1.5417
2018-06-18,13.0435
2018-06-19,-3.2357
2018-06-20,-0.1893
2018-06-21,-1.7699
2018-06-22,3.9897
2018-06-25,7.7351
2018-06-26,-2.1252
2018-06-27,-8.0986
2018-06-28,3.3844
2018-06-29,0.7412
2018-07-02,3.1882
2018-07-03,0.1188
2018-07-05,0.1187
2018-07-06,0.8299
2018-07-09,4.8207
2018-07-10,-5.889
2018-07-11,-1.9666000000000001
2018-07-12,-0.9119
2018-07-13,-0.6748
2018-07-16,-5.3737
2018-07-17,-1.5666
2018-07-18,-2.1883
2018-07-19,-1.1525
2018-07-20,-9.808
2018-07-23,5.019
2018-07-24,-4.4895
2018-07-25,-9.022
2018-07-26,-7.75
2018-07-27,0.542
2018-07-30,-1.7969
2018-07-31,1.1894
2018-08-01,4.34
2018-08-02,-1.6463999999999999
2018-08-03,-5.5507
2018-08-06,1.2127
2018-08-07,-1.4747
2018-08-08,-1.3096
2018-08-09,4.5498
2018-08-10,-5.8024000000000004
2018-08-13,-6.1598
2018-08-14,2.0513
2018-08-15,-2.1106
2018-08-16,0.308
2018-08-17,3.3777
2018-08-20,-11.4851
2018-08-21,1.4541
2018-08-22,4.0794
2018-08-23,6.25
2018-08-24,-7.1785
2018-08-27,-3.1149
2018-08-28,-1.1086
2018-08-29,1.9058000000000002
2018-08-30,4.9505
2018-08-31,1.6771
2018-09-04,5.2577
2018-09-05,3.526
2018-09-06,-7.5686
