ticker,FPRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-18,0.6154
2013-09-19,0.2294
2013-09-20,4.8055
2013-09-23,-3.0568
2013-09-24,2.4775
2013-09-25,2.1978
2013-09-26,0.1434
2013-09-27,-1.2169
2013-09-30,-5.0725
2013-10-01,-0.9924
2013-10-02,6.3994
2013-10-03,-5.4348
2013-10-04,0.0766
2013-10-07,0.8423
2013-10-08,-1.2908
2013-10-09,0.1538
2013-10-10,1.4593
2013-10-11,-0.1514
2013-10-14,0.4549
2013-10-15,1.0566
2013-10-16,0.5228
2013-10-17,0.8172
2013-10-18,1.8423
2013-10-21,0.0
2013-10-22,-0.8683
2013-10-23,1.8978000000000002
2013-10-24,-1.1461000000000001
2013-10-25,0.5797
2013-10-28,-1.4409
2013-10-29,-1.3158
2013-10-30,-1.2593
2013-10-31,-8.4021
2013-11-01,-14.1687
2013-11-04,1.9083999999999999
2013-11-05,0.8427
2013-11-06,-1.5785
2013-11-07,-5.0
2013-11-08,-10.1291
2013-11-11,-3.6464
2013-11-12,-2.6376
2013-11-13,9.3051
2013-11-14,0.3233
2013-11-15,4.7261
2013-11-18,-8.4103
2013-11-19,-3.9194
2013-11-20,1.049
2013-11-21,2.0761
2013-11-22,0.678
2013-11-25,1.0101
2013-11-26,0.5556
2013-11-27,8.5083
2013-11-29,2.8513
2013-12-02,4.6535
2013-12-03,4.0681
2013-12-04,-4.3636
2013-12-05,4.6578
2013-12-06,1.7257
2013-12-09,9.2857
2013-12-10,5.9641
2013-12-11,9.0979
2013-12-12,17.3852
2013-12-13,-3.3113
2013-12-16,-2.6151999999999997
2013-12-17,6.7775
2013-12-18,-5.0299
2013-12-19,-6.053
2013-12-20,-4.2282
2013-12-23,6.6573
2013-12-24,-3.4166
2013-12-26,5.7143
2013-12-27,2.8958
2013-12-30,2.439
2013-12-31,2.5031
2014-01-02,-4.9434000000000005
2014-01-03,-0.6266
2014-01-06,0.6936
2014-01-07,-0.1252
2014-01-08,3.4483
2014-01-09,8.9091
2014-01-10,4.0067
2014-01-13,-4.1734
2014-01-14,5.8068
2014-01-15,1.5303
2014-01-16,2.5987999999999998
2014-01-17,-3.5461
2014-01-21,1.8382
2014-01-22,-0.6704
2014-01-23,-5.296
2014-01-24,1.2061
2014-01-27,-10.2925
2014-01-28,-1.2681
2014-01-29,-7.5841
2014-01-30,-1.1251
2014-01-31,-1.8742
2014-02-03,-6.9577
2014-02-04,-5.9384
2014-02-05,-3.8192
2014-02-06,2.188
