ticker,NPO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-05-28,0.4734
2002-05-29,-1.649
2002-05-30,-4.1916
2002-05-31,-23.125
2002-06-03,13.8211
2002-06-04,-2.1429
2002-06-05,-0.7299
2002-06-06,-10.4412
2002-06-07,-5.7471
2002-06-10,-7.4913
2002-06-11,1.1299
2002-06-12,-6.8901
2002-06-13,2.0
2002-06-14,0.9804
2002-06-17,9.7087
2002-06-18,3.5398
2002-06-19,0.0
2002-06-20,-0.6838
2002-06-21,0.3442
2002-06-24,-0.1715
2002-06-25,0.5155
2002-06-26,-1.7094
2002-06-27,-1.7391
2002-06-28,-7.0796
2002-07-01,8.5714
2002-07-02,1.2281
2002-07-03,-0.1733
2002-07-05,-0.8681
2002-07-08,0.8757
2002-07-09,0.6944
2002-07-10,0.0
2002-07-11,-5.0
2002-07-12,1.2704
2002-07-15,-0.5376
2002-07-16,1.2612999999999999
2002-07-17,1.4235
2002-07-18,-3.3333
2002-07-19,-2.3593
2002-07-22,-3.7175000000000002
2002-07-23,4.2471
2002-07-24,-4.6296
2002-07-25,-0.1942
2002-07-26,-1.5564
2002-07-29,3.7549
2002-07-30,4.7619
2002-07-31,1.6364
2002-08-01,0.3578
2002-08-02,-2.3173
2002-08-05,-4.927
2002-08-06,4.0307
2002-08-07,-5.9041
2002-08-08,0.3922
2002-08-09,-4.2969
2002-08-12,1.0204
2002-08-13,-9.0909
2002-08-14,-5.7778
2002-08-15,0.2358
2002-08-16,0.0
2002-08-19,1.8824
2002-08-20,-0.9238
2002-08-21,-0.6993
2002-08-22,-5.3991
2002-08-23,1.737
2002-08-26,-4.878
2002-08-27,2.0513
2002-08-28,1.7588
2002-08-29,-2.716
2002-08-30,0.0
2002-09-03,-1.0152
2002-09-04,0.0
2002-09-05,1.0256
2002-09-06,-1.0152
2002-09-09,1.0256
2002-09-10,3.2995
2002-09-11,-0.7371
2002-09-12,-3.9604
2002-09-13,1.8041
2002-09-16,-0.2532
2002-09-17,-3.5533
2002-09-18,-4.7368
2002-09-19,-1.6575
2002-09-20,1.6854
2002-09-23,-3.3149
2002-09-24,-3.1429
2002-09-25,0.295
2002-09-26,0.8824
2002-09-27,-2.0408
2002-09-30,2.0833
2002-10-01,0.5831
2002-10-02,-2.6087
2002-10-03,-0.5952
2002-10-04,-3.5928
2002-10-07,-2.1739
2002-10-08,-4.7619
2002-10-09,-1.6667
2002-10-10,-7.1186
2002-10-11,-14.2336
2002-10-14,-3.4043
2002-10-15,4.4053
