ticker,MRUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-19,0.4
2016-05-20,-0.3984
2016-05-23,0.1
2016-05-24,1.4985
2016-05-25,0.5906
2016-05-26,-18.2975
2016-05-27,-8.7425
2016-05-31,12.9921
2016-06-01,0.9292
2016-06-02,1.496
2016-06-03,-3.5147
2016-06-06,9.8707
2016-06-07,4.8128
2016-06-08,-7.551
2016-06-09,6.5121
2016-06-10,-5.1813
2016-06-13,1.5301
2016-06-14,-10.0108
2016-06-15,-1.9139
2016-06-16,3.9024
2016-06-17,-4.3427
2016-06-20,0.2454
2016-06-21,-4.4064
2016-06-22,2.1767
2016-06-23,-1.5038
2016-06-24,1.7812000000000001
2016-06-27,1.125
2016-06-28,-1.1125
2016-06-29,0.0
2016-06-30,-0.125
2016-07-01,0.3755
2016-07-05,1.1222
2016-07-06,1.1097
2016-07-07,2.9268
2016-07-08,2.6066000000000003
2016-07-11,-2.5404
2016-07-12,-2.8436
2016-07-13,-0.6098
2016-07-14,0.1227
2016-07-15,2.8186
2016-07-18,-1.5495
2016-07-19,-0.1211
2016-07-20,1.697
2016-07-21,0.7151
2016-07-22,0.355
2016-07-25,0.0
2016-07-26,-0.8255
2016-07-27,0.7134
2016-07-28,0.3542
2016-07-29,24.0
2016-08-01,-8.0645
2016-08-02,-2.58
2016-08-03,-4.9788
2016-08-04,0.0
2016-08-05,3.8239
2016-08-08,-0.3543
2016-08-09,-1.1853
2016-08-10,0.4362
2016-08-11,-2.2801
2016-08-15,0.8889
2016-08-16,2.4229
2016-08-17,1.0753
2016-08-18,-2.9787
2016-08-19,-0.9868
2016-08-22,1.8826
2016-08-23,-0.8696
2016-08-24,0.8772
2016-08-25,-0.7609
2016-08-26,-2.4096
2016-08-29,1.7957
2016-08-30,0.3308
2016-08-31,0.0
2016-09-06,0.5495
2016-09-07,1.2022
2016-09-08,1.7819
2016-09-09,5.8886
2016-09-12,-1.2024
2016-09-13,-1.7241
2016-09-14,2.064
2016-09-15,-0.2022
2016-09-16,4.3566
2016-09-19,3.301
2016-09-20,-2.8195
2016-09-21,3.0948
2016-09-22,-0.0938
2016-09-23,9.6714
2016-09-26,-1.4555
2016-09-27,-2.3458
2016-09-28,8.512599999999999
2016-09-29,22.901
2016-09-30,11.7412
2016-10-03,6.3881
2016-10-04,1.0101
2016-10-05,0.8889
2016-10-06,-3.8546
2016-10-07,3.0355
2016-10-10,-1.8344
2016-10-11,-2.5481
2016-10-12,-2.7883
2016-10-13,1.1349
