ticker,TPX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-18,10.7143
2003-12-19,-1.6129
2003-12-22,0.7213
2003-12-23,-0.7813
2003-12-24,-2.231
2003-12-26,-1.0738
2003-12-29,0.0678
2003-12-30,2.3051
2003-12-31,2.717
2004-01-02,1.6129
2004-01-05,2.5397
2004-01-06,2.4149
2004-01-07,0.4837
2004-01-08,0.7822
2004-01-09,0.7761
2004-01-12,3.0806
2004-01-13,2.069
2004-01-14,-0.732
2004-01-15,1.5314999999999999
2004-01-16,-3.0726
2004-01-20,-6.6282
2004-01-21,-1.2346
2004-01-22,2.375
2004-01-23,4.2125
2004-01-26,1.4646
2004-01-27,-0.4042
2004-01-28,-1.4493
2004-01-29,-3.8824
2004-01-30,-0.8568
2004-02-02,5.4938
2004-02-03,-0.5266
2004-02-04,2.0588
2004-02-05,-2.9971
2004-02-06,1.426
2004-02-09,0.5858
2004-02-10,-0.9901
2004-02-11,0.0
2004-02-12,0.5882
2004-02-13,-2.924
2004-02-17,-0.6024
2004-02-18,-0.3636
2004-02-19,-1.1557
2004-02-20,0.0
2004-02-23,1.2308
2004-02-24,-1.8845
2004-02-25,-1.7348
2004-02-26,2.7743
2004-02-27,1.8405
2004-03-01,-0.0602
2004-03-02,0.3014
2004-03-03,0.9014
2004-03-04,-0.4765
2004-03-05,-0.2992
2004-03-08,-0.3601
2004-03-09,-1.0843
2004-03-10,-0.1827
2004-03-11,-6.6504
2004-03-12,0.3268
2004-03-15,0.8469
2004-03-16,-0.5168
2004-03-17,1.1688
2004-03-18,0.7702
2004-03-19,-0.9554
2004-03-22,1.6077
2004-03-23,0.8228
2004-03-24,1.6949
2004-03-25,-0.6173
2004-03-26,-0.6832
2004-03-29,-0.2502
2004-03-30,-0.2508
2004-03-31,-1.697
2004-04-01,-1.4706000000000001
2004-04-02,-1.0383
2004-04-05,-0.459
2004-04-06,-0.1976
2004-04-07,-0.198
2004-04-08,-0.463
2004-04-12,1.1296
2004-04-13,-0.1314
2004-04-14,-2.9605
2004-04-15,0.2034
2004-04-16,-1.6238000000000001
2004-04-19,1.5131000000000001
2004-04-20,8.4011
2004-04-21,0.625
2004-04-22,5.2795
2004-04-23,-5.3687000000000005
2004-04-26,-1.8702999999999999
2004-04-27,-3.6212999999999997
2004-04-28,-1.1206
2004-04-29,3.3333
2004-04-30,0.7097
2004-05-03,4.4843
2004-05-04,-1.0423
2004-05-05,4.0892
2004-05-06,-6.7262
2004-05-07,-0.7658
