ticker,BEOB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-27,2.8571
2004-09-07,-2.7778
2004-09-16,7.1429
2004-10-07,-1.3333
2004-11-30,8.1081
2004-12-23,-10.0
2005-01-07,6.25
2005-02-08,-5.6209
2005-03-07,6.6482
2005-03-17,-6.4935
2005-03-18,0.0
2005-03-21,0.0
2005-03-28,0.0
2005-04-04,-2.7778
2005-04-06,1.4285999999999999
2005-04-12,1.4085
2005-04-15,0.0
2005-04-27,-4.1667
2005-04-29,1.4493
2005-06-06,-2.8571
2005-06-07,1.4706000000000001
2005-06-09,-1.4493
2005-06-15,2.9412000000000003
2005-06-28,-0.4286
2005-06-30,-1.7217
2005-07-05,0.0
2005-07-11,-3.6496
2005-08-03,0.0
2005-08-08,0.0
2005-09-01,5.303
2005-09-15,-2.8777
2005-09-27,0.7407
2005-10-03,0.4412
2005-11-03,0.1464
2005-11-28,-0.1462
2006-01-04,2.3952
2006-01-05,0.0
2006-01-17,0.0
2006-01-30,0.0
2006-02-06,0.8772
2006-02-07,-0.7246
2006-02-21,3.6496
2006-03-27,-3.5211
2006-03-31,2.1898
2006-04-04,0.7143
2006-04-24,2.5532
2006-05-09,0.5533
2006-05-22,-2.3384
2006-05-31,-1.2676
2006-06-02,-0.1427
2006-06-14,0.1429
2006-06-26,-0.7133
2006-06-29,-0.8621
2006-07-20,0.0
2006-07-24,-2.1739
2006-07-25,2.963
2006-07-28,-2.8777
2006-08-21,0.7407
2006-08-23,1.4706000000000001
2006-08-30,-2.1739
2006-08-31,0.1481
2006-09-06,-0.1479
2006-09-08,0.0
2006-09-11,1.4815
2006-09-12,-2.9196999999999997
2006-09-13,0.6015
2006-10-02,-1.3453
2006-10-03,0.1515
2006-10-10,0.7564
2006-10-18,2.8529
2006-10-24,0.146
2006-10-27,2.0408
2006-12-08,0.1429
2006-12-15,1.2839
2006-12-18,-0.7042
2006-12-19,0.7092
2006-12-28,2.8777
2006-12-29,0.0
2007-01-11,1.3986
2007-02-21,6.3448
2007-02-23,2.4643
2007-02-28,-2.2785
2007-03-15,6.2176
2007-03-19,-5.8537
2007-03-28,4.2746
2007-04-05,-4.3478
2007-04-13,1.9481000000000002
2007-05-04,0.6369
2007-05-22,2.1519
2007-07-06,-3.5936
2007-07-09,0.0
2007-07-10,-0.8997
2007-07-13,0.0
2007-07-18,1.1673
2007-07-19,-0.7692
2007-07-20,0.7752
2007-07-23,-1.9231
2007-07-24,1.9607999999999999
2007-07-27,3.2051
