ticker,KEWL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6494
2000-01-05,0.6452
2000-01-12,-1.2821
2000-01-19,6.4935
2000-01-20,-6.0976
2000-01-21,1.6234
2000-01-27,-0.9585
2000-01-31,-0.6452
2000-02-01,-8.4416
2000-02-02,-0.7092
2000-02-04,0.7143
2000-02-08,-6.383
2000-02-11,0.6061
2000-02-18,6.8182
2000-03-13,7.8014
2000-03-16,0.0
2000-04-13,1.9737
2000-04-14,3.2258
2000-04-19,0.0
2000-04-20,-3.75
2000-04-25,1.2987
2000-04-26,2.5641
2000-05-11,8.0
2000-05-16,0.0
2000-05-17,-8.7209
2000-05-18,0.0
2000-06-15,0.0
2000-06-29,1.2739
2000-07-03,-1.2579
2000-07-10,5.7325
2000-07-12,0.0
2000-10-04,2.3002000000000002
2000-10-12,-2.3669000000000002
2000-10-17,1.2121
2000-10-25,-1.1976
2000-11-01,0.6061
2000-11-13,2.8916
2000-11-15,1.1764999999999999
2000-11-22,0.0
2000-11-28,-1.1628
2000-11-29,0.8824
2000-12-01,0.2915
2000-12-08,0.0
2000-12-20,-1.1628
2001-01-02,0.0
2001-01-19,3.5294
2001-02-05,0.0
2001-02-06,2.2727
2001-02-07,0.0
2001-02-21,0.4464
2001-02-22,-2.2222
2001-02-26,2.2727
2001-02-28,-4.4444
2001-03-02,6.9767
2001-03-06,0.0
2001-04-10,0.0
2001-04-26,-2.1739
2001-05-01,1.1111
2001-05-03,3.2967
2001-05-07,-4.2553
2001-05-17,6.0268
2001-05-23,1.0526
2001-05-29,8.3333
2001-06-05,3.8462
2001-06-08,0.0
2001-06-28,11.1111
2001-06-29,-8.3333
2001-07-02,9.0909
2001-07-05,-6.6667
2001-07-20,7.1429
2001-08-14,0.3344
2001-09-17,2.0833
2001-09-26,-1.7143000000000002
2001-10-03,-0.3322
2001-10-23,0.0
2001-10-26,-0.4167
2001-10-29,2.5105
2001-11-20,3.1941
2001-11-30,3.1746
2001-12-04,6.9231
2001-12-05,-0.1799
2001-12-06,1.6216
2001-12-07,13.4752
2001-12-18,5.0
2001-12-24,1.1905000000000001
2002-04-01,-12.2936
2002-04-02,-8.5714
2002-05-07,-1.4706000000000001
2002-06-10,-0.4491
2002-06-18,3.0075
2002-06-24,-5.1095
2002-06-26,3.0769
2002-07-08,4.4776
2002-07-12,-1.4285999999999999
2002-07-30,0.0
2002-08-23,-2.6163
2002-09-17,2.9851
2002-09-19,-2.8986
2002-10-04,-1.4925
