ticker,ITOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-24,0.2632
2020-07-27,-7.769
2020-07-28,3.5857
2020-07-29,3.1319
2020-07-30,-1.4385
2020-07-31,6.3784
