ticker,HMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-08,2.2727
2018-02-09,1.1556
2018-02-12,-1.4938
2018-02-13,-0.0892
2018-02-14,0.0
2018-02-15,-1.6071
2018-02-16,-0.1815
2018-02-20,1.3636
2018-02-21,1.2556
2018-02-22,-1.24
2018-02-23,-0.8969
2018-02-26,0.905
2018-02-27,-1.0762
2018-02-28,-0.272
2018-03-01,0.0
2018-03-02,1.2727
2018-03-05,6.1939
2018-03-06,-1.1834
2018-03-07,-0.941
2018-03-08,0.0
2018-03-09,-1.7271
2018-03-12,0.0879
2018-03-13,-3.4241
2018-03-14,-0.2727
2018-03-15,-1.3674
2018-03-16,0.3697
2018-03-19,1.2891
2018-03-20,0.4545
2018-03-21,0.8145
2018-03-22,-1.167
2018-03-23,-2.9973
2018-03-26,-4.4944
2018-03-27,4.8039
2018-03-28,-2.3386
2018-03-29,1.8199
2018-04-02,-2.0696
2018-04-03,-0.8646
2018-04-04,-4.4574
2018-04-05,0.7099
2018-04-06,-2.6183
2018-04-09,0.9307
2018-04-10,1.9466999999999999
2018-04-11,-2.7136
2018-04-12,-1.5495999999999999
2018-04-13,-0.8395
2018-04-16,0.0
2018-04-17,2.7513
2018-04-18,-0.5149
2018-04-19,-0.3106
2018-04-20,-1.0384
2018-04-23,-0.8395
2018-04-24,-7.8307
2018-04-25,3.9036
2018-04-26,1.105
2018-04-27,-1.5301
2018-04-30,0.0
2018-05-01,-2.5526999999999997
2018-05-02,3.303
2018-05-03,-1.2128
2018-05-04,3.3482
2018-05-07,0.54
2018-05-08,0.4296
2018-05-09,1.0695000000000001
2018-05-10,1.2698
2018-05-11,-0.8359
2018-05-14,0.2107
2018-05-15,7.6761
2018-05-16,-4.5898
2018-05-17,-2.6612
2018-05-18,-3.8906
2018-05-21,11.2691
2018-05-22,6.7847
2018-05-23,1.3812
2018-05-24,4.4505
2018-05-25,-3.2174
2018-05-29,0.2695
2018-05-30,-2.3297
2018-05-31,6.422
2018-06-01,0.0
2018-06-04,-0.8621
2018-06-05,1.0435
2018-06-06,1.5491000000000001
2018-06-07,0.339
2018-06-08,1.2669000000000001
2018-06-11,17.2644
2018-06-12,-8.1792
2018-06-13,1.4717
2018-06-14,-4.1221
2018-06-15,-7.2452
2018-06-18,-4.6352
2018-06-19,-5.4005
2018-06-20,4.7574
2018-06-21,2.089
2018-06-22,-4.7153
2018-06-25,-4.7619
2018-06-26,-2.3529
2018-06-27,-9.3373
2018-06-28,0.5537
