ticker,GAWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-11,25.0
2013-10-16,0.0
2013-10-21,8.0
2013-11-05,48.1481
2013-11-06,0.0
2013-11-08,12.5
2013-11-25,33.3333
2013-11-29,0.0
2013-12-03,-13.3333
2013-12-16,92.3077
2013-12-17,40.0
2013-12-18,14.2857
2013-12-19,-6.25
2013-12-20,0.0
2013-12-23,6.6667
2013-12-27,3.125
2014-01-06,-9.0909
2014-01-07,0.6667
2014-01-08,0.0
2014-01-09,2.649
2014-01-10,0.0
2014-01-15,0.0
2014-01-17,0.0
2014-01-21,0.0
2014-01-23,0.2581
2014-01-24,-6.6924
2014-01-27,3.4483
2014-01-28,-0.6667
2014-01-29,-2.6846
2014-01-30,0.0
2014-01-31,3.4483
2014-02-03,4.0
2014-02-04,-0.641
2014-02-05,3.2258
2014-02-06,-2.5
2014-02-07,2.5641
2014-02-10,0.0
2014-02-11,0.375
2014-02-12,1.4944
2014-02-13,-1.7178
2014-02-14,0.0
2014-02-18,1.1236
2014-02-19,2.4691
2014-02-20,0.0
2014-02-21,0.6024
2014-02-24,-0.5988
2014-02-25,1.2048
2014-02-26,2.9762
2014-02-27,-2.8902
2014-02-28,2.9762
2014-03-03,-4.0462
2014-03-04,-0.241
2014-03-05,-0.9662
2014-03-06,-2.439
2014-03-07,-1.25
2014-03-10,-5.0633
2014-03-11,6.4
2014-03-12,0.2506
2014-03-13,0.0
2014-03-14,0.0
2014-03-17,-12.5
2014-03-18,-64.2857
2014-03-19,-28.0
2014-03-20,8.3333
2014-03-21,43.5897
2014-03-24,-26.0714
2014-03-25,9.1787
2014-03-26,-0.4425
2014-03-27,-26.2222
2014-03-28,19.8795
2014-03-31,-19.598
2014-04-01,-15.0
2014-04-02,-30.147100000000002
2014-04-03,-11.0526
2014-04-04,-5.3254
2014-04-07,-21.25
2014-04-08,-7.1429
2014-04-09,-8.0342
2014-04-10,-29.7398
2014-04-11,-25.9259
2014-04-14,71.4286
2014-04-15,-22.9167
2014-04-16,-32.4324
2014-04-17,0.0
2014-04-21,-20.0
2014-04-22,-4.5
2014-04-23,30.8901
2014-04-24,-15.0
2014-04-25,-1.1764999999999999
2014-04-28,-4.7024
2014-04-29,14.8657
2014-04-30,-12.9962
2014-05-01,-30.0
2014-05-02,-28.5714
2014-05-05,-1.0
2014-05-06,-1.0101
2014-05-07,0.0
2014-05-08,-18.3673
2014-05-09,12.6562
2014-05-12,43.1345
2014-05-13,31.7829
2014-05-14,5.8824
