ticker,LVGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-09,1400.0
2000-02-25,-93.3333
2000-03-06,900.0
2000-03-09,0.0
2000-03-10,0.0
2000-03-13,0.0
2000-04-04,0.0
2000-04-05,0.0
2000-04-14,0.0
2000-04-19,0.0
2000-05-24,0.0
2000-05-25,0.0
2000-05-26,-50.0
2000-05-31,0.0
2000-06-12,-20.0
2000-07-06,-25.0
2000-08-21,-33.3333
2000-10-24,0.0
2000-10-25,0.0
2000-11-02,0.0
2000-12-14,0.0
2001-01-04,100.0
2001-01-05,0.0
2001-01-31,-50.0
2001-03-16,0.0
2001-05-16,0.0
2001-12-24,0.0
2001-12-27,0.0
2002-01-16,0.0
2002-01-17,0.0
2002-07-11,-50.0
2002-09-04,0.0
2002-10-01,0.0
2002-10-11,-50.0
2002-10-15,-97.5
2002-12-17,0.0
2002-12-19,0.0
2004-04-21,0.0
2004-08-02,0.0
2004-09-22,0.0
2004-12-23,7900.0
2005-01-03,0.0
2005-01-04,500.0
2005-01-20,16.6667
2005-02-16,-85.7143
2005-02-17,0.0
2005-04-22,0.0
2005-04-25,-50.0
2005-05-02,0.0
2005-05-03,-80.0
2005-09-19,200.0
2005-09-20,0.0
2005-12-13,33.3333
2006-02-13,0.0
2006-06-29,100.0
2006-07-18,-25.0
2006-10-09,0.0
2006-10-31,0.0
2006-12-18,0.0
2007-01-29,0.0
2007-02-14,16.6667
2007-02-15,78.5714
2007-04-11,-19.2
2007-04-12,23.7624
2007-04-20,12.0
2007-04-30,3.5714
2007-05-01,-3.4483
2007-05-11,-10.7143
2007-05-14,-27.2
2007-05-15,-12.0879
2007-05-16,12.25
2007-05-17,-10.9131
2007-05-18,-12.5
2007-05-21,0.0
2007-05-22,-88.7143
2007-05-23,1.2658
2007-05-24,0.0
2007-05-25,-6.25
2007-05-29,0.0
2007-05-30,-6.6667
2007-05-31,42.8571
2007-06-01,-20.0
2007-06-04,6.25
2007-06-05,0.0
2007-06-06,16.4706
2007-06-07,-19.1919
2007-06-08,-10.0
2007-06-11,-27.7778
2007-06-12,3.8462
2007-06-13,-9.2593
2007-06-14,2.0408
2007-06-15,8.0
2007-06-18,29.6296
2007-06-19,50.0
2007-06-20,-20.0
2007-06-21,-16.6667
2007-06-22,7.1429
2007-06-25,6.6667
2007-06-27,0.0
2007-06-28,-6.25
2007-06-29,-33.3333
2007-07-02,0.0
2007-07-05,-10.0
2007-07-06,11.1111
2007-07-09,-20.0
2007-07-11,0.0
