ticker,SHGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-19,0.0
2004-08-27,-4.0
2004-09-07,2.0833
2004-09-09,-2.0408
2004-09-29,0.0
2004-10-01,-6.25
2004-10-07,-54.4444
2004-10-08,143.9024
2004-10-19,-40.0
2004-10-21,30.0
2004-10-29,-20.5128
2004-11-01,-35.4839
2004-11-12,92.75
2004-11-17,8.9494
2004-11-18,-16.6667
2004-11-22,14.2857
2004-11-24,0.0
2004-11-26,-25.0
2004-11-30,3.3333
2004-12-01,-35.4839
2004-12-02,-45.0
2004-12-03,0.0
2004-12-06,1.8182
2004-12-08,7.1429
2004-12-09,-8.3333
2004-12-13,0.0
2004-12-14,-9.0909
2004-12-15,-60.0
2004-12-17,600.0
2004-12-23,-35.7143
2004-12-30,33.3333
2005-01-13,-33.3333
2005-01-24,-93.75
2005-01-28,900.0
2005-01-31,0.0
2005-02-07,-50.0
2005-02-11,0.0
2005-02-14,-10.0
2005-02-15,-33.3333
2005-02-16,0.0
2005-03-01,233.3333
2005-03-14,-40.0
2005-03-15,0.0
2005-03-18,0.0
2005-04-05,-98.3333
2005-06-01,900.0
2005-06-30,0.0
2005-11-07,0.0
2005-12-16,-5.0
2006-02-01,15.7895
2006-02-02,0.0
2006-02-03,-9.0909
2006-12-28,-98.75
2010-08-09,1900.0
2010-09-08,0.0
2011-01-04,-60.0
2011-04-01,150.0
2011-04-11,0.0
2012-11-14,20.0
2012-11-19,-33.3333
2012-11-28,11.25
2012-12-07,12.3596
2012-12-10,4.0
2013-01-09,92.3077
2013-01-10,-40.0
2013-01-22,-20.8333
2013-03-14,10.526299999999999
2013-03-15,1.9048
2013-03-21,7.4766
2013-04-02,9.5652
2013-04-19,11.1111
2013-04-22,0.0
2013-05-22,-14.2857
2013-05-23,16.6667
2013-05-30,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-09-09,0.0
2013-11-15,0.0
2014-01-08,0.0
2014-02-26,-0.7143
2014-08-21,-6.4748
