ticker,GPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.5874
2000-01-04,0.4651
2000-01-05,-0.9259
2000-01-06,-0.4673
2000-01-07,4.6948
2000-01-10,-2.6906
2000-01-11,1.8433000000000002
2000-01-12,-2.7149
2000-01-13,3.2558
2000-01-14,-0.9009
2000-01-18,-2.2727
2000-01-19,3.2558
2000-01-20,-0.9009
2000-01-21,-0.4545
2000-01-24,-1.8265
2000-01-25,-2.3256
2000-01-26,-8.5714
2000-01-27,8.3333
2000-01-28,0.4808
2000-01-31,-4.7847
2000-02-01,-2.0101
2000-02-02,0.0
2000-02-03,-1.0256
2000-02-04,-1.0363
2000-02-07,-8.9005
2000-02-08,6.8966
2000-02-09,-11.2903
2000-02-10,4.2424
2000-02-11,-2.3256
2000-02-14,4.1667
2000-02-15,13.1429
2000-02-16,9.0909
2000-02-17,-5.5556
2000-02-18,-6.8627
2000-02-22,-2.1053
2000-02-23,-8.6022
2000-02-24,-2.3529
2000-02-25,1.2048
2000-02-28,2.3810000000000002
2000-02-29,-9.3023
2000-03-01,14.1026
2000-03-02,14.6067
2000-03-03,8.3333
2000-03-06,-0.905
2000-03-07,-1.3699
2000-03-08,0.0
2000-03-09,-4.1667
2000-03-10,-1.4493
2000-03-13,-1.9607999999999999
2000-03-14,4.0
2000-03-15,-0.9615
2000-03-16,0.4854
2000-03-17,-0.9662
2000-03-20,-4.878
2000-03-21,0.0
2000-03-22,4.6154
2000-03-23,-1.9607999999999999
2000-03-24,-2.0
2000-03-27,1.5306
2000-03-28,-4.0201
2000-03-29,-0.5236
2000-03-30,1.5789
2000-03-31,-3.6269
2000-04-03,1.6129
2000-04-04,-5.8201
2000-04-05,3.3708
2000-04-06,5.9783
2000-04-07,4.6154
2000-04-10,-0.9804
2000-04-11,-2.4752
2000-04-12,-1.0152
2000-04-13,-0.5128
2000-04-14,-4.6392
2000-04-17,0.5405
2000-04-18,1.0753
2000-04-19,-0.5319
2000-04-20,-5.3476
2000-04-24,0.565
2000-04-25,-2.2472
2000-04-26,7.4713
2000-04-27,-1.0695000000000001
2000-04-28,2.7027
2000-05-01,8.9474
2000-05-02,-0.4831
2000-05-03,1.9417
2000-05-04,17.619
2000-05-05,6.8826
2000-05-08,-15.5303
2000-05-09,-1.7936999999999999
2000-05-10,-7.7626
2000-05-11,-3.4653
2000-05-12,-2.0513
2000-05-15,0.5236
2000-05-16,-2.6042
2000-05-17,2.6738
2000-05-18,0.5208
2000-05-19,-0.5181
