ticker,PLAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-10,8.0
2014-10-13,1.2731
2014-10-14,-1.2
2014-10-15,-0.5205
2014-10-16,1.6279
2014-10-17,1.8879000000000001
2014-10-20,3.2566
2014-10-21,2.8276
2014-10-22,-0.1058
2014-10-23,0.2118
2014-10-24,-0.6339
2014-10-27,3.8278
2014-10-28,-1.4337
2014-10-29,-0.7792
2014-10-30,1.466
2014-10-31,1.4447999999999999
2014-11-03,2.0855
2014-11-04,5.0822
2014-11-05,-0.9957
2014-11-06,-1.2931
2014-11-07,3.3479
2014-11-10,3.5681000000000003
2014-11-11,-0.816
2014-11-12,-0.6856
2014-11-13,1.8408
2014-11-14,2.0334
2014-11-17,0.1771
2014-11-18,-2.6967
2014-11-19,-3.0895
2014-11-20,0.8439
2014-11-21,1.9990999999999999
2014-11-24,-0.2279
2014-11-25,-1.8273000000000001
2014-11-26,3.8623
2014-11-28,2.6882
2014-12-01,0.349
2014-12-02,0.5652
2014-12-03,0.562
2014-12-04,1.9346999999999999
2014-12-05,-0.2531
2014-12-08,-1.7759
2014-12-09,1.5497
2014-12-10,0.2967
2014-12-11,-0.3804
2014-12-12,-3.7336
2014-12-15,-4.848
2014-12-16,0.1853
2014-12-17,11.7892
2014-12-18,5.7899
2014-12-19,-3.0102
2014-12-22,3.0633
2014-12-23,1.0168
2014-12-24,-0.6581
2014-12-26,2.3383
2014-12-29,2.1706
2014-12-30,0.4473
2014-12-31,1.2987
2015-01-02,-4.1026
2015-01-05,-2.1772
2015-01-06,4.2171
2015-01-07,4.3087
2015-01-08,-1.3649
2015-01-09,-0.1821
2015-01-12,3.5023999999999997
2015-01-13,7.4374
2015-01-14,1.1155
2015-01-15,-1.2979
2015-01-16,-1.9066
2015-01-20,-2.8485
2015-01-21,-1.8627
2015-01-22,-1.3005
2015-01-23,0.1781
2015-01-26,0.1777
2015-01-27,0.3903
2015-01-28,1.0958
2015-01-29,0.2797
2015-01-30,0.2092
2015-02-02,-2.8532
2015-02-03,3.8324
2015-02-04,4.2083
2015-02-05,0.993
2015-02-06,-2.3599
2015-02-09,0.235
2015-02-10,0.2009
2015-02-11,-0.0334
2015-02-12,-0.9361
2015-02-13,-0.405
2015-02-17,0.0
2015-02-18,3.1515
2015-02-19,0.3614
2015-02-20,-0.2291
2015-02-23,-0.6562
2015-02-24,-0.6605
2015-02-25,4.5545
2015-02-26,2.0032
2015-02-27,-2.7431
2015-03-02,1.5064
2015-03-03,-0.0632
