ticker,FSMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-13,6.0185
2007-08-14,3.0568
2007-10-26,-0.4237
2008-08-29,3.8298
2009-04-22,-16.3934
2009-04-30,19.6078
2009-07-01,0.0
2009-07-29,1.6393
2010-03-11,11.2903
2010-03-16,0.0
2010-07-29,0.7246
2010-08-04,0.0
2010-08-05,0.0
2011-02-15,-28.0576
2011-03-22,49.0
2014-01-27,15.4362
2014-08-25,-4.6512
2014-09-29,0.0
2014-10-07,9.7561
2014-11-07,-5.5556
2014-12-22,8.2353
2015-03-13,1.087
2015-07-21,1.0753
2015-07-31,-4.2553
2015-08-13,0.0
2015-08-18,-0.2778
2015-09-04,-0.5571
2015-09-10,-0.2801
2015-09-11,0.0
2015-09-14,1.1236
2015-09-15,3.3333
2015-11-20,-3.2258
2015-12-02,6.6667
2016-02-18,5.2083
2016-07-06,0.0
2016-07-19,-5.9406
2016-07-20,8.4211
2016-12-07,0.0
2017-01-31,1.9417
2017-07-27,2.0
2017-07-28,2.7077
2017-10-13,10.9091
2017-12-15,-8.1967
2019-02-06,9.8214
2019-09-11,1.626
2019-11-26,-4.8
2019-12-02,4.2017
