ticker,CYCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-19,8.1104
2019-03-21,2.1918
2019-03-22,4.9696
2019-03-25,31.0679
2019-03-26,10.6842
2019-04-01,8.6543
2019-04-02,-36.5864
2019-04-03,24.0166
2019-04-04,-4.118
2019-04-05,-5.5717
2019-04-08,1.721
2019-04-09,8.1571
2019-04-10,3.1285
2019-04-11,-1.8418
2019-04-12,0.9382
2019-04-15,-3.5539
2019-04-16,-3.5714
2019-04-17,-4.5855
2019-04-18,-4.1282
2019-04-22,0.0
2019-04-23,-0.4499
2019-04-24,0.1291
2019-04-25,-0.5158
2019-04-26,0.4537
2019-04-29,-0.6452
2019-04-30,-1.1039
2019-05-01,-0.197
2019-05-02,0.6579
2019-05-03,0.0
2019-05-06,8.562100000000001
2019-05-07,-7.646
2019-05-08,3.3898
2019-05-09,2.3329
2019-05-10,2.5262000000000002
2019-05-13,-9.375
2019-05-14,-2.0557
2019-05-15,-3.0467
2019-05-16,2.7235
2019-05-17,-0.6798
2019-05-20,0.7529
2019-05-21,4.0082
2019-05-22,0.1306
2019-05-23,-1.7612999999999999
2019-05-24,0.5976
2019-05-28,-0.9901
2019-05-29,-6.6667
2019-05-30,-4.0
2019-05-31,3.7946
2019-06-03,-18.7097
2019-06-04,-0.3527
2019-06-05,-6.6372
2019-06-06,6.3507
2019-06-07,-9.8039
2019-06-10,-2.3715
2019-06-11,-1.9231
2019-06-12,0.8256
2019-06-13,-1.74
2019-06-14,1.875
2019-06-17,10.0204
2019-06-18,6.7844
2019-06-19,-0.2611
2019-06-20,2.007
2019-06-21,-4.876
2019-06-24,-3.0576
2019-06-25,4.3599
2019-06-26,-1.3333
2019-06-27,0.9009
2019-06-28,2.2321
2019-07-01,1.6594
2019-07-02,3.4364
2019-07-03,1.1628
2019-07-05,-0.2463
2019-07-08,-1.3992
2019-07-09,0.1669
2019-07-10,0.5833
2019-07-11,1.1599
2019-07-12,2.1294
2019-07-15,-0.401
2019-07-16,-1.4493
2019-07-17,-2.7778
2019-07-18,0.0
2019-07-19,0.6723
2019-07-22,0.6678
2019-07-23,0.0829
2019-07-24,-5.3853
2019-07-25,-7.268
2019-07-26,-7.7432
2019-07-29,-1.0235
2019-07-30,-0.2068
2019-07-31,-3.7306
2019-08-01,-0.9688
2019-08-02,-4.2391
2019-08-05,-6.8104
2019-08-06,4.6285
2019-08-07,-1.397
2019-08-08,-0.7084
2019-08-09,4.6373
2019-08-12,-5.4545
2019-08-13,2.8846
